First Asset Active Credit ETF | FAO | Volume: 440 | Value: 9.61 | Open: 9.61 | High: 9.61 | SharesOut.: 2737565 | Beta: 0.366 | Prev.Close: 9.60 | Low: 9.60 | MarketCap: 26308000 | VWAP: 9.6075 | Dividend: 0.045CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 5.619 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.680 | Exchange: TSX | 
First Asset Active Utility & Infrastructure ETF | FAI | Volume: 1000 | Value: 10.26 | Open: 10.26 | High: 10.26 | SharesOut.: 2141194 | Beta: 0.469 | Prev.Close: 10.20 | Low: 10.26 | MarketCap: 21968650 | VWAP: 10.26 | Dividend: 0.034CAD | Div.Frequency: Monthly | P/ERatio: 23.600 | EPS: 1.960000 | Yield: 4.010 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.033 | Exchange: TSX | 
First Asset Cambridge Core U.S. Equity ETF | FCY | Volume: 100 | Value: 23.75 | Open: 23.75 | High: 23.75 | SharesOut.: 100000 | Beta: 0.503 | Prev.Close: 23.95 | Low: 23.75 | MarketCap: 2375000 | VWAP: 23.75 | Dividend: 0.180CAD | Div.Frequency: Quarterly | P/ERatio: 18.000 | EPS: N/A | Yield: 3.008 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.960 | Exchange: TSX | 
First Asset Cambridge Global Dividend ETF | FCW | Volume: 1040 | Value: 19.76 | Open: 19.70 | High: 19.76 | SharesOut.: 100000 | Beta: 0.096 | Prev.Close: 19.72 | Low: 19.70 | MarketCap: 1976000 | VWAP: 19.746667 | Dividend: 0.147CAD | Div.Frequency: Quarterly | P/ERatio: 15.000 | EPS: N/A | Yield: 3.053 | Ex-DivDate: 06/22/2018 | P/BRatio: 3.020 | Exchange: TSX | 
First Asset Can-Materials Covered Call ETF | MXF | Volume: 2561 | Value: 14.01 | Open: 14.01 | High: 14.01 | SharesOut.: 1063041 | Beta: 1.759 | Prev.Close: 13.98 | Low: 14.01 | MarketCap: 14893204 | VWAP: 14.01 | Dividend: 0.230CAD | Div.Frequency: Quarterly | P/ERatio: 17.300 | EPS: N/A | Yield: 6.218 | Ex-DivDate: 06/22/2018 | P/BRatio: 0.690 | Exchange: TSX | 
First Asset Canadian Buyback Index ETF | FBE | Volume: 50 | Value: 24.55 | Open: 0.00 | High: 0.00 | SharesOut.: 500000 | Beta: 0.982 | Prev.Close: 24.55 | Low: 0.00 | MarketCap: 12275000 | VWAP: N/A | Dividend: 0.093CAD | Div.Frequency: Quarterly | P/ERatio: 14.000 | EPS: N/A | Yield: 1.473 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.990 | Exchange: TSX | 
First Asset Canadian Convertible Bond ETF | CXF | Volume: 135 | Value: 9.89 | Open: 9.89 | High: 9.89 | SharesOut.: 1999982 | Beta: 0.447 | Prev.Close: 9.96 | Low: 9.89 | MarketCap: 19779822 | VWAP: 9.89 | Dividend: 0.040CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.853 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset Canadian Convertibles Fund | ADC.UN | Volume: 1000 | Value: 6.55 | Open: 6.55 | High: 6.55 | SharesOut.: 1638844 | Beta: 0.471 | Prev.Close: 6.55 | Low: 6.55 | MarketCap: 10734428 | VWAP: 6.55 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 27.400 | EPS: 0.240000 | Yield: 6.107 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset Canadian REIT ETF | RIT | Volume: 28748 | Value: 16.41 | Open: 16.46 | High: 16.46 | SharesOut.: 19396068 | Beta: 0.378 | Prev.Close: 16.45 | Low: 16.38 | MarketCap: 318289476 | VWAP: 16.412912 | Dividend: 0.068CAD | Div.Frequency: Monthly | P/ERatio: 8.400 | EPS: 1.510000 | Yield: 4.936 | Ex-DivDate: 06/22/2018 | P/BRatio: 0.980 | Exchange: TSX | 
First Asset CanBanc Income Class ETF | CIC | Volume: 3602 | Value: 11.88 | Open: 11.92 | High: 11.92 | SharesOut.: 13221193 | Beta: 0.812 | Prev.Close: 11.89 | Low: 11.88 | MarketCap: 157067773 | VWAP: 11.8875 | Dividend: 0.175CAD | Div.Frequency: Quarterly | P/ERatio: 12.100 | EPS: -0.100000 | Yield: 5.892 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.840 | Exchange: TSX | 
