BMO India Equity Index ETF | ZID | Volume: 3594 | Value: 24.25 | Open: 24.41 | High: 24.41 | SharesOut.: 11623915 | Beta: 0.471 | Prev.Close: 24.57 | Low: 24.25 | MarketCap: 281879939 | VWAP: 24.275429 | Dividend: 0.093CAD | Div.Frequency: Annual | P/ERatio: 17.700 | EPS: N/A | Yield: 0.192 | Ex-DivDate: 12/27/2017 | P/BRatio: 2.390 | Exchange: TSX | 
BMO International Dividend ETF | ZDI | Volume: 7515 | Value: 22.08 | Open: 22.20 | High: 22.21 | SharesOut.: 19066600 | Beta: 0.691 | Prev.Close: 22.37 | Low: 21.95 | MarketCap: 420990528 | VWAP: 22.058056 | Dividend: 0.090CAD | Div.Frequency: Monthly | P/ERatio: 12.400 | EPS: N/A | Yield: 4.285 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.390 | Exchange: TSX | 
BMO International Dividend Hedged to CAD ETF | ZDH | Volume: 4295 | Value: 22.26 | Open: 22.42 | High: 22.42 | SharesOut.: 6301000 | Beta: 0.962 | Prev.Close: 22.40 | Low: 22.26 | MarketCap: 140260260 | VWAP: 22.299 | Dividend: 0.090CAD | Div.Frequency: Monthly | P/ERatio: 12.500 | EPS: N/A | Yield: 4.420 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.380 | Exchange: TSX | 
BMO Junior Gas Index ETF | ZJN | Volume: 1500 | Value: 18.02 | Open: 18.14 | High: 18.14 | SharesOut.: 1944511 | Beta: 2.466 | Prev.Close: 17.54 | Low: 18.02 | MarketCap: 35040088 | VWAP: 18.109333 | Dividend: 0.368CAD | Div.Frequency: Annual | P/ERatio: 9.200 | EPS: N/A | Yield: 2.042 | Ex-DivDate: 12/27/2017 | P/BRatio: 1.560 | Exchange: TSX | 
BMO Junior Gold Index ETF | ZJG | Volume: 24810 | Value: 9.01 | Open: 8.92 | High: 9.03 | SharesOut.: 9608541 | Beta: 1.749 | Prev.Close: 8.93 | Low: 8.90 | MarketCap: 86572954 | VWAP: 9.012338 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 15.800 | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.030 | Exchange: TSX | 
BMO Junior Oil Index ETF | ZJO | Volume: 25584 | Value: 15.10 | Open: 14.91 | High: 15.25 | SharesOut.: 6242458 | Beta: 2.543 | Prev.Close: 14.76 | Low: 14.91 | MarketCap: 94261116 | VWAP: 15.194190 | Dividend: 0.052CAD | Div.Frequency: Annual | P/ERatio: 20.500 | EPS: N/A | Yield: 0.344 | Ex-DivDate: 12/27/2017 | P/BRatio: 1.100 | Exchange: TSX | 
BMO Laddered Preferred Share Index ETF | ZPR | Volume: 98838 | Value: 11.56 | Open: 11.59 | High: 11.61 | SharesOut.: 182973079 | Beta: 0.701 | Prev.Close: 11.61 | Low: 11.56 | MarketCap: 2115168793 | VWAP: 11.572761 | Dividend: 0.040CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.936 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Long Corporate Bond Index ETF | ZLC | Volume: 8858 | Value: 18.49 | Open: 18.51 | High: 18.52 | SharesOut.: 19081153 | Beta: 0.190 | Prev.Close: 18.48 | Low: 18.46 | MarketCap: 352810519 | VWAP: 18.504767 | Dividend: 0.062CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.714 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Long Federal Bond Index ETF | ZFL | Volume: 15100 | Value: 17.50 | Open: 17.47 | High: 17.50 | SharesOut.: 16728585 | Beta: -0.087 | Prev.Close: 17.50 | Low: 17.43 | MarketCap: 292750238 | VWAP: 17.479007 | Dividend: 0.043CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.743 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Long Provincial Bond Index ETF | ZPL | Volume: 2340 | Value: 15.94 | Open: 15.91 | High: 15.94 | SharesOut.: 36732325 | Beta: 0.121 | Prev.Close: 15.92 | Low: 15.91 | MarketCap: 585513261 | VWAP: 15.921818 | Dividend: 0.043CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.034 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Low Volatility Canadian Equity ETF | ZLB | Volume: 50437 | Value: 30.73 | Open: 30.78 | High: 30.81 | SharesOut.: 39400000 | Beta: 0.486 | Prev.Close: 30.94 | Low: 30.69 | MarketCap: 1210762000 | VWAP: 30.721749 | Dividend: 0.200CAD | Div.Frequency: Quarterly | P/ERatio: 12.800 | EPS: N/A | Yield: 2.083 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.040 | Exchange: TSX | 
BMO Low Volatility Emerging Markets Equity ETF | ZLE | Volume: 4250 | Value: 21.50 | Open: 21.55 | High: 21.55 | SharesOut.: 5419900 | Beta: 0.074 | Prev.Close: 21.89 | Low: 21.50 | MarketCap: 116527850 | VWAP: 21.531707 | Dividend: 0.310CAD | Div.Frequency: Annual | P/ERatio: 14.400 | EPS: N/A | Yield: 0.721 | Ex-DivDate: 12/27/2017 | P/BRatio: 1.550 | Exchange: TSX | 
BMO Low Volatility International Equity ETF | ZLI | Volume: 1020 | Value: 24.61 | Open: 24.66 | High: 24.66 | SharesOut.: 10896828 | Beta: -0.058 | Prev.Close: 24.86 | Low: 24.61 | MarketCap: 268170937 | VWAP: 24.635 | Dividend: 0.130CAD | Div.Frequency: Quarterly | P/ERatio: 17.400 | EPS: N/A | Yield: 2.255 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.130 | Exchange: TSX | 
