AirBoss of America Corp. | BOS | Volume: 6249 | Value: 15.32 | Open: 15.26 | High: 15.42 | SharesOut.: 23418182 | Beta: -0.079 | Prev.Close: 15.26 | Low: 15.25 | MarketCap: 358766548 | VWAP: 15.345574 | Dividend: 0.070CAD | Div.Frequency: Quarterly | P/ERatio: 20.900 | EPS: 0.710000 | Yield: 1.828 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.246 | Exchange: TSX | 
BMO Nasdaq 100 Equity Hedged To CAD Index ETF | ZQQ | Volume: 63900 | Value: 52.90 | Open: 53.90 | High: 54.12 | SharesOut.: 12628560 | Beta: 0.829 | Prev.Close: 53.70 | Low: 52.90 | MarketCap: 668050824 | VWAP: 53.559839 | Dividend: 0.277CAD | Div.Frequency: Annual | P/ERatio: 25.600 | EPS: N/A | Yield: 0.524 | Ex-DivDate: 12/27/2017 | P/BRatio: 5.650 | Exchange: TSX | 
BMO Real Return Bond Index ETF | ZRR | Volume: 2465 | Value: 17.86 | Open: 17.84 | High: 17.88 | SharesOut.: 3250000 | Beta: 0.196 | Prev.Close: 17.79 | Low: 17.84 | MarketCap: 58045000 | VWAP: 17.853913 | Dividend: 0.030CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 1.861 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO S&P 500 Hedged to CAD Index ETF | ZUE | Volume: 11940 | Value: 40.64 | Open: 41.19 | High: 41.32 | SharesOut.: 28620245 | Beta: 0.786 | Prev.Close: 41.22 | Low: 40.64 | MarketCap: 1163126757 | VWAP: 40.960423 | Dividend: 0.155CAD | Div.Frequency: Quarterly | P/ERatio: 20.400 | EPS: N/A | Yield: 1.319 | Ex-DivDate: 06/27/2018 | P/BRatio: 3.100 | Exchange: TSX | 
BMO S&P 500 Index ETF | ZSP | Volume: 74340 | Value: 39.68 | Open: 39.92 | High: 40.03 | SharesOut.: 118851140 | Beta: 0.421 | Prev.Close: 39.96 | Low: 39.55 | MarketCap: 4716013235 | VWAP: 39.751010 | Dividend: 0.145CAD | Div.Frequency: Quarterly | P/ERatio: 20.600 | EPS: N/A | Yield: 1.525 | Ex-DivDate: 06/27/2018 | P/BRatio: 3.160 | Exchange: TSX | 
BMO S&P/TSX Capped Composite Index ETF | ZCN | Volume: 81256 | Value: 21.87 | Open: 21.97 | High: 22.01 | SharesOut.: 172608866 | Beta: 1.004 | Prev.Close: 22.15 | Low: 21.85 | MarketCap: 3774955899 | VWAP: 21.959987 | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: 15.700 | EPS: N/A | Yield: 2.180 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.820 | Exchange: TSX | 
BMO Shiller Select US Index ETF | ZEUS | Volume: 419 | Value: 22.10 | Open: 22.10 | High: 22.10 | SharesOut.: 803000 | Beta: 0.146 | Prev.Close: 22.23 | Low: 22.10 | MarketCap: 17746300 | VWAP: 22.10 | Dividend: 0.075CAD | Div.Frequency: Quarterly | P/ERatio: 14.800 | EPS: N/A | Yield: 1.290 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.140 | Exchange: TSX | 
BMO Short Corporate Bond Index ETF | ZCS | Volume: 16885 | Value: 14.03 | Open: 14.04 | High: 14.04 | SharesOut.: 97439396 | Beta: 0.051 | Prev.Close: 14.05 | Low: 14.01 | MarketCap: 1367074726 | VWAP: 14.027561 | Dividend: 0.033CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.937 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Short Federal Bond Index ETF | ZFS | Volume: 0 | Value: 14.15 | Open: N/A | High: N/A | SharesOut.: 62732645 | Beta: -0.003 | Prev.Close: 14.15 | Low: N/A | MarketCap: 887666927 | VWAP: N/A | Dividend: 0.018CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 1.528 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Short Provincial Bond Index ETF | ZPS | Volume: 1700 | Value: 13.33 | Open: 13.33 | High: 13.33 | SharesOut.: 36238434 | Beta: 0.003 | Prev.Close: 13.37 | Low: 13.33 | MarketCap: 483058325 | VWAP: 13.33 | Dividend: 0.034CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.136 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Short-Term Bond Index ETF | ZSB | Volume: 0 | Value: 49.59 | Open: N/A | High: N/A | SharesOut.: 170001 | Beta: -0.150 | Prev.Close: 49.59 | Low: N/A | MarketCap: 8430350 | VWAP: N/A | Dividend: 0.300CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 2.435 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Short-Term US IG Corporate Bond Hedged to CAD Index ETF | ZSU | Volume: 200 | Value: 14.36 | Open: 14.35 | High: 14.36 | SharesOut.: 9559981 | Beta: 0.025 | Prev.Close: 14.35 | Low: 14.35 | MarketCap: 137281327 | VWAP: 14.355 | Dividend: 0.028CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.375 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Ultra Short-Term Bond ETF | ZST | Volume: 2960 | Value: 51.31 | Open: 51.31 | High: 51.31 | SharesOut.: 1930000 | Beta: 0.000 | Prev.Close: 51.45 | Low: 51.30 | MarketCap: 99028300 | VWAP: 51.308276 | Dividend: 0.145CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.073 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO US Dividend ETF | ZDY | Volume: 8070 | Value: 31.69 | Open: 31.96 | High: 31.96 | SharesOut.: 47361800 | Beta: 0.348 | Prev.Close: 31.79 | Low: 31.57 | MarketCap: 1500895442 | VWAP: 31.738846 | Dividend: 0.071CAD | Div.Frequency: Monthly | P/ERatio: 15.700 | EPS: N/A | Yield: 2.415 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.420 | Exchange: TSX | 
BMO US Dividend Hedged to CAD ETF | ZUD | Volume: 3393 | Value: 23.98 | Open: 24.30 | High: 24.30 | SharesOut.: 6002000 | Beta: 0.730 | Prev.Close: 24.21 | Low: 23.98 | MarketCap: 143927960 | VWAP: 24.217879 | Dividend: 0.057CAD | Div.Frequency: Monthly | P/ERatio: 15.700 | EPS: N/A | Yield: 2.575 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.400 | Exchange: TSX | 
BMO US High Dividend Covered Call ETF | ZWH | Volume: 15395 | Value: 20.55 | Open: 20.64 | High: 20.67 | SharesOut.: 32497000 | Beta: 0.174 | Prev.Close: 20.66 | Low: 20.44 | MarketCap: 667813350 | VWAP: 20.566351 | Dividend: 0.090CAD | Div.Frequency: Monthly | P/ERatio: 16.200 | EPS: N/A | Yield: 5.304 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.600 | Exchange: TSX | 
BMO US High Dividend Covered Call Hedged to CAD ETF | ZWS | Volume: 2816 | Value: 19.54 | Open: 19.60 | High: 19.60 | SharesOut.: 1000300 | Beta: 0.865 | Prev.Close: 19.73 | Low: 19.51 | MarketCap: 19545862 | VWAP: 19.533571 | Dividend: 0.090CAD | Div.Frequency: Monthly | P/ERatio: 16.000 | EPS: N/A | Yield: 5.773 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.560 | Exchange: TSX | 
BMO US Preferred Share Hedged to CAD Index ETF | ZHP | Volume: 100 | Value: 24.55 | Open: 24.55 | High: 24.55 | SharesOut.: 744900 | Beta: 0.007 | Prev.Close: 24.99 | Low: 24.55 | MarketCap: 18287295 | VWAP: 24.55 | Dividend: 0.105CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 5.132 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO US Preferred Share Index ETF | ZUP | Volume: 2140 | Value: 25.40 | Open: 25.33 | High: 25.40 | SharesOut.: 1801100 | Beta: 0.218 | Prev.Close: 25.36 | Low: 25.23 | MarketCap: 45747940 | VWAP: 25.302857 | Dividend: 0.102CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.843 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO US Put Write ETF | ZPW | Volume: 14140 | Value: 18.53 | Open: 18.47 | High: 18.58 | SharesOut.: 12466000 | Beta: -0.233 | Prev.Close: 18.22 | Low: 18.47 | MarketCap: 230994980 | VWAP: 18.520284 | Dividend: 0.095CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 6.152 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO US Put Write Hedged to CAD ETF | ZPH | Volume: 762 | Value: 19.08 | Open: 19.09 | High: 19.09 | SharesOut.: 1300000 | Beta: 0.147 | Prev.Close: 18.94 | Low: 19.08 | MarketCap: 24804000 | VWAP: 19.082857 | Dividend: 0.100CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 5.893 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
BMO Women in Leadership Fund | WOMN | Volume: 0 | Value: 20.53 | Open: N/A | High: N/A | SharesOut.: 100050 | Beta: N/A | Prev.Close: 20.53 | Low: N/A | MarketCap: 2054027 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 17.100 | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.450 | Exchange: TSX | 
BMTC Group Inc. | GBT | Volume: 600 | Value: 15.04 | Open: 15.23 | High: 15.24 | SharesOut.: 35066300 | Beta: 0.748 | Prev.Close: 15.24 | Low: 15.04 | MarketCap: 527397152 | VWAP: 15.205 | Dividend: 0.140CAD | Div.Frequency: Semi-Annual | P/ERatio: 10.200 | EPS: 1.360000 | Yield: 1.862 | Ex-DivDate: 07/04/2018 | P/BRatio: 2.528 | Exchange: TSX | 
BNK Petroleum Inc. | BKX | Volume: 160854 | Value: 0.51 | Open: 0.51 | High: 0.52 | SharesOut.: 232722625 | Beta: 4.010 | Prev.Close: 0.52 | Low: 0.50 | MarketCap: 118688539 | VWAP: 0.515794 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.750 | Exchange: TSX | 
BNS Split Corp. II | BSC | Volume: 0 | Value: 23.46 | Open: N/A | High: N/A | SharesOut.: 940880 | Beta: 2.217 | Prev.Close: 23.46 | Low: N/A | MarketCap: 22073045 | VWAP: N/A | Dividend: 0.195CAD | Div.Frequency: Quarterly | P/ERatio: 13.400 | EPS: 2.330000 | Yield: 3.325 | Ex-DivDate: 06/14/2018 | P/BRatio: 1.770 | Exchange: TSX | 
Boardwalk Real Estate Investment Trust | BEI.UN | Volume: 476861 | Value: 45.20 | Open: 45.55 | High: 45.55 | SharesOut.: 46168440 | Beta: 0.289 | Prev.Close: 45.58 | Low: 44.98 | MarketCap: 2086813488 | VWAP: 45.150791 | Dividend: 0.083CAD | Div.Frequency: Monthly | P/ERatio: 19.300 | EPS: 1.24 | Yield: 2.214 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.757 | Exchange: TSX | 
Bombardier Inc. | BBD.A | Volume: 156178 | Value: 5.09 | Open: 5.05 | High: 5.16 | SharesOut.: 313758549 | Beta: 1.215 | Prev.Close: 5.06 | Low: 5.05 | MarketCap: 1597031014 | VWAP: 5.095540 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.310000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -1.347 | Exchange: TSX | 
Bonavista Energy Corporation | BNP | Volume: 1317986 | Value: 1.49 | Open: 1.44 | High: 1.52 | SharesOut.: 253185439 | Beta: 3.716 | Prev.Close: 1.43 | Low: 1.44 | MarketCap: 377246304 | VWAP: 1.485831 | Dividend: 0.010CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.470000 | Yield: 2.685 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.244 | Exchange: TSX | 
Bonterra Energy Corp. | BNE | Volume: 164508 | Value: 17.33 | Open: 16.95 | High: 17.54 | SharesOut.: 33310796 | Beta: 2.914 | Prev.Close: 16.74 | Low: 16.95 | MarketCap: 577276095 | VWAP: 17.272209 | Dividend: 0.100CAD | Div.Frequency: Monthly | P/ERatio: 98.500 | EPS: 0.170000 | Yield: 6.924 | Ex-DivDate: 06/14/2018 | P/BRatio: 1.145 | Exchange: TSX | 
Boralex Inc. | BLX | Volume: 193255 | Value: 20.93 | Open: 20.96 | High: 21.05 | SharesOut.: 76318897 | Beta: 0.128 | Prev.Close: 20.90 | Low: 20.88 | MarketCap: 1597354514 | VWAP: 20.947968 | Dividend: 0.158CAD | Div.Frequency: Quarterly | P/ERatio: 63.300 | EPS: 0.340000 | Yield: 3.010 | Ex-DivDate: 05/30/2018 | P/BRatio: 2.229 | Exchange: TSX | 
Boston Pizza Royalties Income Fund | BPF.UN | Volume: 21762 | Value: 19.83 | Open: 19.90 | High: 19.95 | SharesOut.: 21886063 | Beta: 0.721 | Prev.Close: 19.82 | Low: 19.83 | MarketCap: 434000629 | VWAP: 19.890824 | Dividend: 0.115CAD | Div.Frequency: Monthly | P/ERatio: 15.200 | EPS: 1.300000 | Yield: 6.959 | Ex-DivDate: 06/20/2018 | P/BRatio: 1.468 | Exchange: TSX | 
Boyd Group Income Fund | BYD.UN | Volume: 72283 | Value: 117.73 | Open: 118.19 | High: 121.25 | SharesOut.: 19668601 | Beta: 0.293 | Prev.Close: 118.00 | Low: 117.49 | MarketCap: 2315584396 | VWAP: 119.096392 | Dividend: 0.044CAD | Div.Frequency: Monthly | P/ERatio: 36.300 | EPS: 3.160000 | Yield: 0.448 | Ex-DivDate: 06/28/2018 | P/BRatio: 4.867 | Exchange: TSX | 
Boyuan Construction Group, Inc. | BOY | Volume: 0 | Value: 0.415 | Open: N/A | High: N/A | SharesOut.: 25423065 | Beta: 2.020 | Prev.Close: 0.415 | Low: N/A | MarketCap: 10550572 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 1.500 | EPS: 0.270000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.067 | Exchange: TSX | 
Brampton Brick Limited | BBL.A | Volume: 1393 | Value: 8.05 | Open: 8.05 | High: 8.05 | SharesOut.: 9235123 | Beta: 0.282 | Prev.Close: 8.05 | Low: 8.05 | MarketCap: 74342740 | VWAP: 8.05 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 11.200 | EPS: 0.540000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.567 | Exchange: TSX | 
Brand Leaders Income Fund | HBL.UN | Volume: 700 | Value: 10.85 | Open: 10.85 | High: 10.85 | SharesOut.: 433051 | Beta: 0.760 | Prev.Close: 10.85 | Low: 10.85 | MarketCap: 4698603 | VWAP: 10.85 | Dividend: 0.065CAD | Div.Frequency: Monthly | P/ERatio: 7.700 | EPS: 1.410000 | Yield: 7.189 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.938 | Exchange: TSX | 
Bri-Chem Corp. | BRY | Volume: 0 | Value: 0.375 | Open: N/A | High: N/A | SharesOut.: 23932981 | Beta: 1.644 | Prev.Close: 0.375 | Low: N/A | MarketCap: 8974868 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 10.500 | EPS: 0.07 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.310 | Exchange: TSX | 
Brick Brewing Co. Limited | BRB | Volume: 15325 | Value: 4.13 | Open: 4.22 | High: 4.22 | SharesOut.: 35320701 | Beta: -0.307 | Prev.Close: 4.21 | Low: 4.12 | MarketCap: 145874495 | VWAP: 4.190625 | Dividend: 0.020CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: 0.07 | Yield: 1.937 | Ex-DivDate: 07/09/2018 | P/BRatio: 4.010 | Exchange: TSX | 
Bristol Gate Concentrated Canadian Equity ETF | BGC | Volume: 100 | Value: 20.52 | Open: 20.52 | High: 20.52 | SharesOut.: 250000 | Beta: 0.952 | Prev.Close: 20.71 | Low: 20.52 | MarketCap: 5130000 | VWAP: 20.52 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Bristol Gate Concentrated US Equity ETF | BGU | Volume: 0 | Value: 21.69 | Open: N/A | High: N/A | SharesOut.: 200000 | Beta: 0.871 | Prev.Close: 21.69 | Low: N/A | MarketCap: 4338000 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Brompton Lifeco Split Corp. | LCS | Volume: 26146 | Value: 6.55 | Open: 6.69 | High: 6.69 | SharesOut.: 7267931 | Beta: 1.968 | Prev.Close: 6.72 | Low: 6.55 | MarketCap: 47604948 | VWAP: 6.629535 | Dividend: 0.075CAD | Div.Frequency: Monthly | P/ERatio: 9.300 | EPS: 2.540000 | Yield: 13.740 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.370 | Exchange: TSX | 
Brompton Oil Split Corp. | OSP | Volume: 25780 | Value: 6.67 | Open: 6.75 | High: 6.89 | SharesOut.: 3211016 | Beta: 2.945 | Prev.Close: 6.72 | Low: 6.67 | MarketCap: 21417477 | VWAP: 6.827782 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.790000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.226 | Exchange: TSX | 
Brompton Split Banc Corp. | SBC | Volume: 3350 | Value: 13.95 | Open: 14.05 | High: 14.10 | SharesOut.: 7837901 | Beta: 1.572 | Prev.Close: 14.05 | Low: 13.95 | MarketCap: 109338719 | VWAP: 14.027879 | Dividend: 0.100CAD | Div.Frequency: Monthly | P/ERatio: 5.300 | EPS: 3.50 | Yield: 8.602 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.965 | Exchange: TSX | 
Brookfield Asset Management Inc. | BAM.A | Volume: 2407184 | Value: 53.27 | Open: 53.63 | High: 53.63 | SharesOut.: 991857711 | Beta: 0.814 | Prev.Close: 53.46 | Low: 53.06 | MarketCap: 52836260265 | VWAP: 53.273688 | Dividend: 0.150USD | Div.Frequency: Quarterly | P/ERatio: 18.200 | EPS: 1.75 | Yield: 1.448 | Ex-DivDate: 05/30/2018 | P/BRatio: 1.625 | Exchange: TSX | 
Brookfield Business Partners L.P. | BBU.UN | Volume: 31811 | Value: 51.27 | Open: 51.95 | High: 52.16 | SharesOut.: 66185798 | Beta: 1.830 | Prev.Close: 52.02 | Low: 51.21 | MarketCap: 3393345863 | VWAP: 51.725224 | Dividend: 0.063USD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 0.627 | Ex-DivDate: 05/30/2018 | P/BRatio: 1.815 | Exchange: TSX | 
Brookfield Global Infrastructure Securities Income Fund | BGI.UN | Volume: 74702 | Value: 6.57 | Open: 6.73 | High: 6.73 | SharesOut.: 20295152 | Beta: 1.540 | Prev.Close: 6.66 | Low: 6.54 | MarketCap: 133339149 | VWAP: 6.660202 | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: 13.600 | EPS: 0.490000 | Yield: 9.132 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.981 | Exchange: TSX | 
Brookfield Infrastructure Partners L.P. | BIP.PR.A | Volume: 3185 | Value: 23.96 | Open: 23.80 | High: 23.96 | SharesOut.: 5000000 | Beta: 1.010 | Prev.Close: 23.85 | Low: 23.80 | MarketCap: 119800000 | VWAP: 23.875161 | Dividend: 0.281CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 4.695 | Ex-DivDate: 05/30/2018 | P/BRatio: N/A | Exchange: TSX | 
Brookfield Office Properties Inc. | BPO.PR.A | Volume: 2600 | Value: 22.44 | Open: 22.52 | High: 22.67 | SharesOut.: 12000000 | Beta: 1.242 | Prev.Close: 22.52 | Low: 22.44 | MarketCap: 269280000 | VWAP: 22.510769 | Dividend: 0.297CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 5.292 | Ex-DivDate: 06/14/2018 | P/BRatio: N/A | Exchange: TSX | 
Brookfield Property Partners L.P. | BPY.UN | Volume: 65621 | Value: 25.58 | Open: 25.96 | High: 26.09 | SharesOut.: 254443809 | Beta: 0.166 | Prev.Close: 25.87 | Low: 25.50 | MarketCap: 6508672634 | VWAP: 25.686375 | Dividend: 0.315USD | Div.Frequency: Quarterly | P/ERatio: 14.500 | EPS: 2.980000 | Yield: 6.330 | Ex-DivDate: 05/30/2018 | P/BRatio: 0.651 | Exchange: TSX | 
Brookfield Property Split Corp. | BPS.PR.A | Volume: 0 | Value: 25.35 | Open: N/A | High: N/A | SharesOut.: 699165 | Beta: -0.029 | Prev.Close: 25.35 | Low: N/A | MarketCap: 17723833 | VWAP: N/A | Dividend: 0.359CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 5.671 | Ex-DivDate: 06/14/2018 | P/BRatio: N/A | Exchange: TSX | 
Brookfield Real Estate Services Inc. | BRE | Volume: 18473 | Value: 18.90 | Open: 18.93 | High: 18.94 | SharesOut.: 9483850 | Beta: 0.253 | Prev.Close: 18.78 | Low: 18.70 | MarketCap: 179244765 | VWAP: 18.865856 | Dividend: 0.113CAD | Div.Frequency: Monthly | P/ERatio: 16.600 | EPS: 1.140000 | Yield: 7.143 | Ex-DivDate: 06/28/2018 | P/BRatio: -5.150 | Exchange: TSX | 
Brookfield Renewable Partners L.P. | BEP.PR.E | Volume: 3200 | Value: 23.60 | Open: 23.58 | High: 23.60 | SharesOut.: 2885496 | Beta: 0.035 | Prev.Close: 23.59 | Low: 23.58 | MarketCap: 68097706 | VWAP: 23.596875 | Dividend: 0.349CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 5.922 | Ex-DivDate: 07/12/2018 | P/BRatio: N/A | Exchange: TSX | 
Brookfield Renewable Power Preferred Equity Inc. | BRF.PR.A | Volume: 800 | Value: 21.72 | Open: 21.77 | High: 21.77 | SharesOut.: 5449675 | Beta: 0.734 | Prev.Close: 21.80 | Low: 21.72 | MarketCap: 118366941 | VWAP: 21.7525 | Dividend: 0.210CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 3.862 | Ex-DivDate: 07/12/2018 | P/BRatio: N/A | Exchange: TSX | 
Brookfield Select Opportunities Income Fund | BSO.UN | Volume: 7907 | Value: 4.72 | Open: 4.78 | High: 4.78 | SharesOut.: 9892284 | Beta: 1.716 | Prev.Close: 4.76 | Low: 4.72 | MarketCap: 46691580 | VWAP: 4.73 | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.480000 | Yield: 12.712 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.938 | Exchange: TSX | 
BRP Inc. | DOO | Volume: 299688 | Value: 63.45 | Open: 62.63 | High: 63.68 | SharesOut.: 36010259 | Beta: 1.300 | Prev.Close: 62.66 | Low: 62.32 | MarketCap: 2284850934 | VWAP: 63.038244 | Dividend: 0.090CAD | Div.Frequency: Quarterly | P/ERatio: 21.800 | EPS: 2.560000 | Yield: 0.567 | Ex-DivDate: 06/28/2018 | P/BRatio: -17.056 | Exchange: TSX | 
BSM Technologies Inc. | GPS | Volume: 28300 | Value: 1.32 | Open: 1.26 | High: 1.34 | SharesOut.: 82211406 | Beta: 0.198 | Prev.Close: 1.31 | Low: 1.26 | MarketCap: 108519056 | VWAP: 1.320954 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.07 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.222 | Exchange: TSX | 
BSR Real Estate Investment Trust | HOM.U | Volume: 47476 | Value: 9.35 | Open: 9.35 | High: 9.35 | SharesOut.: 16550000 | Beta: N/A | Prev.Close: 9.25 | Low: 9.15 | MarketCap: 154742500 | VWAP: 9.260063 | Dividend: 0.059USD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 5.352 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
BTB Real Estate Investment Trust | BTB.DB.E | Volume: 0 | Value: 101.05 | Open: N/A | High: N/A | SharesOut.: 230000 | Beta: 0.082 | Prev.Close: 101.05 | Low: N/A | MarketCap: 23241500 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Buhler Industries Inc. | BUI | Volume: 0 | Value: 3.65 | Open: N/A | High: N/A | SharesOut.: 25000000 | Beta: 0.151 | Prev.Close: 3.65 | Low: N/A | MarketCap: 91250000 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.230000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.526 | Exchange: TSX | 
Burcon Nutrascience Corporation | BU | Volume: 610 | Value: 0.53 | Open: 0.53 | High: 0.53 | SharesOut.: 43941536 | Beta: 1.932 | Prev.Close: 0.52 | Low: 0.53 | MarketCap: 23289014 | VWAP: 0.53 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.150000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 53.000 | Exchange: TSX | 
Canadian Banc Corp. | BK | Volume: 18643 | Value: 12.47 | Open: 12.51 | High: 12.51 | SharesOut.: 11180657 | Beta: 1.641 | Prev.Close: 12.55 | Low: 12.46 | MarketCap: 139422793 | VWAP: 12.499892 | Dividend: 0.104CAD | Div.Frequency: Monthly | P/ERatio: 4.400 | EPS: 2.850000 | Yield: 10.008 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.270 | Exchange: TSX | 
Cott Corporation | BCB | Volume: 162710 | Value: 21.94 | Open: 22.13 | High: 22.17 | SharesOut.: 140159714 | Beta: 0.619 | Prev.Close: 22.08 | Low: 21.83 | MarketCap: 3075104125 | VWAP: 21.962415 | Dividend: 0.060USD | Div.Frequency: Quarterly | P/ERatio: 6.100 | EPS: -0.010000 | Yield: 1.396 | Ex-DivDate: 11/27/2017 | P/BRatio: 1.830 | Exchange: TSX | 
First Asset 1-5 Year Laddered Government Strip Bond Index ETF | BXF | Volume: 1257 | Value: 10.11 | Open: 10.11 | High: 10.11 | SharesOut.: 13599969 | Beta: 0.015 | Prev.Close: 10.09 | Low: 10.11 | MarketCap: 137495687 | VWAP: 10.11 | Dividend: 0.036CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 1.285 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
First Trust Indxx Innovative Transaction and Process ETF | BLCK | Volume: 100 | Value: 19.31 | Open: 19.31 | High: 19.31 | SharesOut.: 100000 | Beta: 0.605 | Prev.Close: 19.61 | Low: 19.31 | MarketCap: 1931000 | VWAP: 19.310000 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 20.100 | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.460 | Exchange: TSX | 
