Desjardins Canadian Preferred Share Index ETF | DCP | Volume: 2182 | Value: 20.30 | Open: 20.30 | High: 20.30 | SharesOut.: 500000 | Beta: 0.254 | Prev.Close: 20.35 | Low: 20.30 | MarketCap: 10150000 | VWAP: 20.30 | Dividend: 0.073CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.153 | Ex-DivDate: 06/21/2018 | P/BRatio: N/A | Exchange: TSX | 
Desjardins Canadian Short Term Bond Index ETF | DCS | Volume: 538 | Value: 19.35 | Open: 0.00 | High: 0.00 | SharesOut.: 1200000 | Beta: 0.007 | Prev.Close: 19.35 | Low: 0.00 | MarketCap: 23220000 | VWAP: N/A | Dividend: 0.037CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.295 | Ex-DivDate: 06/21/2018 | P/BRatio: N/A | Exchange: TSX | 
Desjardins Canadian Universe Bond Index ETF | DCU | Volume: 0 | Value: 19.55 | Open: N/A | High: N/A | SharesOut.: 100000 | Beta: 0.098 | Prev.Close: 19.55 | Low: N/A | MarketCap: 1955000 | VWAP: N/A | Dividend: 0.047CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.899 | Ex-DivDate: 06/21/2018 | P/BRatio: N/A | Exchange: TSX | 
Desjardins Developed ex-USA ex-Canada Multifactor-Controlled Volatility ETF | DFD | Volume: 181 | Value: 21.71 | Open: 0.00 | High: 0.00 | SharesOut.: 1250000 | Beta: 0.568 | Prev.Close: 21.71 | Low: 0.00 | MarketCap: 27137500 | VWAP: N/A | Dividend: 0.110CAD | Div.Frequency: Quarterly | P/ERatio: 17.600 | EPS: N/A | Yield: 2.027 | Ex-DivDate: 06/21/2018 | P/BRatio: 1.980 | Exchange: TSX | 
Desjardins Emerging Markets Multifactor-Controlled Volatility ETF | DFE | Volume: 20 | Value: 18.85 | Open: 0.00 | High: 0.00 | SharesOut.: 9500000 | Beta: -0.621 | Prev.Close: 18.85 | Low: 0.00 | MarketCap: 179075000 | VWAP: N/A | Dividend: 0.200CAD | Div.Frequency: Semi-Annual | P/ERatio: 12.500 | EPS: N/A | Yield: 1.084 | Ex-DivDate: 06/21/2018 | P/BRatio: 1.380 | Exchange: TSX | 
Desjardins USA Multifactor-Controlled Volatility ETF | DFU | Volume: 398 | Value: 21.89 | Open: 21.89 | High: 21.89 | SharesOut.: 950000 | Beta: 0.317 | Prev.Close: 21.95 | Low: 21.89 | MarketCap: 20795500 | VWAP: 21.89 | Dividend: 0.075CAD | Div.Frequency: Quarterly | P/ERatio: 19.300 | EPS: N/A | Yield: 1.494 | Ex-DivDate: 06/21/2018 | P/BRatio: 2.690 | Exchange: TSX | 
Detour Gold Corporation | DGC | Volume: 1822664 | Value: 11.56 | Open: 11.40 | High: 11.68 | SharesOut.: 175052793 | Beta: 1.953 | Prev.Close: 11.44 | Low: 11.28 | MarketCap: 2023610287 | VWAP: 11.509082 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 16.900 | EPS: 0.680000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.773 | Exchange: TSX | 
DHX Media Ltd. | DHX | Volume: 317511 | Value: 2.88 | Open: 2.95 | High: 2.99 | SharesOut.: 134247002 | Beta: 0.293 | Prev.Close: 2.90 | Low: 2.81 | MarketCap: 386631366 | VWAP: 2.903196 | Dividend: 0.020CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.080000 | Yield: 2.778 | Ex-DivDate: 05/24/2018 | P/BRatio: 1.143 | Exchange: TSX | 
Difference Capital Financial Inc. | DCF | Volume: 66 | Value: 3.15 | Open: 0.00 | High: 0.00 | SharesOut.: 5816721 | Beta: -0.423 | Prev.Close: 3.15 | Low: 0.00 | MarketCap: 18322671 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.200000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.446 | Exchange: TSX | 
DIRTT Environmental Solutions Ltd. | DRT | Volume: 116787 | Value: 6.34 | Open: 6.33 | High: 6.45 | SharesOut.: 84374170 | Beta: 2.172 | Prev.Close: 6.43 | Low: 6.33 | MarketCap: 534932238 | VWAP: 6.389970 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.078 | Exchange: TSX | 
