Scandium International Mining Corp. | SCY | Volume: 39500 | Value: 0.16 | Open: 0.15 | High: 0.16 | SharesOut.: 303971294 | Beta: 1.297 | Prev.Close: 0.155 | Low: 0.15 | MarketCap: 48635407 | VWAP: 0.154937 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 16.000 | Exchange: TSX | 
Scotia Strategic Canadian Equity ETF Portfolio | SCAD | Volume: 0 | Value: 20.12 | Open: N/A | High: N/A | SharesOut.: 100000 | Beta: N/A | Prev.Close: 20.12 | Low: N/A | MarketCap: 2012000 | VWAP: N/A | Dividend: 0.129CAD | Div.Frequency: Quarterly | P/ERatio: 13.300 | EPS: N/A | Yield: 2.565 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.710 | Exchange: TSX | 
Scotia Strategic Fixed Income ETF Portfolio | SFIX | Volume: 0 | Value: 20.15 | Open: N/A | High: N/A | SharesOut.: 100000 | Beta: N/A | Prev.Close: 20.15 | Low: N/A | MarketCap: 2015000 | VWAP: N/A | Dividend: 0.041CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.442 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Scotia Strategic International Equity ETF Portfolio | SINT | Volume: 50 | Value: 19.72 | Open: 0.00 | High: 0.00 | SharesOut.: 100000 | Beta: N/A | Prev.Close: 19.72 | Low: 0.00 | MarketCap: 1972000 | VWAP: N/A | Dividend: 0.256CAD | Div.Frequency: Quarterly | P/ERatio: 12.800 | EPS: N/A | Yield: 5.193 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.330 | Exchange: TSX | 
Scotia Strategic U.S. Equity ETF Portfolio | SUSA | Volume: 0 | Value: 20.45 | Open: N/A | High: N/A | SharesOut.: 100000 | Beta: N/A | Prev.Close: 20.45 | Low: N/A | MarketCap: 2045000 | VWAP: N/A | Dividend: 0.050CAD | Div.Frequency: Quarterly | P/ERatio: 19.500 | EPS: N/A | Yield: 0.978 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.150 | Exchange: TSX | 
Seabridge Gold Inc. | SEA | Volume: 19643 | Value: 14.76 | Open: 14.95 | High: 14.99 | SharesOut.: 59422318 | Beta: 1.574 | Prev.Close: 14.97 | Low: 14.64 | MarketCap: 877073414 | VWAP: 14.799818 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.180000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.481 | Exchange: TSX | 
Second Cup Ltd. (The) | SCU | Volume: 41703 | Value: 2.61 | Open: 2.76 | High: 2.76 | SharesOut.: 19940073 | Beta: -0.591 | Prev.Close: 2.76 | Low: 2.50 | MarketCap: 52043591 | VWAP: 2.645879 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.210000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.992 | Exchange: TSX | 
Secure Energy Services Inc. | SES | Volume: 340131 | Value: 7.38 | Open: 7.40 | High: 7.52 | SharesOut.: 164547187 | Beta: 2.162 | Prev.Close: 7.30 | Low: 7.37 | MarketCap: 1214358240 | VWAP: 7.441676 | Dividend: 0.023CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.190000 | Yield: 3.659 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.382 | Exchange: TSX | 
Semafo Inc. | SMF | Volume: 372197 | Value: 3.81 | Open: 3.74 | High: 3.81 | SharesOut.: 325617255 | Beta: 1.913 | Prev.Close: 3.77 | Low: 3.74 | MarketCap: 1240601742 | VWAP: 3.782052 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 49.200 | EPS: 0.080000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.287 | Exchange: TSX | 
Senior Secured Floating Rate Loan Fund | FRL.UN | Volume: 2900 | Value: 9.21 | Open: 9.27 | High: 9.27 | SharesOut.: 4509164 | Beta: 0.358 | Prev.Close: 9.30 | Low: 9.20 | MarketCap: 41529400 | VWAP: 9.216552 | Dividend: 0.054CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 1.37 | Yield: 7.058 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
