Information Services Corporation | ISV | Volume: 36102 | Value: 17.25 | Open: 17.40 | High: 17.40 | SharesOut.: 17500000 | Beta: 0.687 | Prev.Close: 17.46 | Low: 17.11 | MarketCap: 301875000 | VWAP: 17.228944 | Dividend: 0.200CAD | Div.Frequency: Quarterly | P/ERatio: 10.900 | EPS: 1.600000 | Yield: 4.638 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.919 | Exchange: TSX | 
InMed Pharmaceuticals Inc. | IN | Volume: 598659 | Value: 0.72 | Open: 0.76 | High: 0.76 | SharesOut.: 169851069 | Beta: 2.434 | Prev.Close: 0.76 | Low: 0.72 | MarketCap: 122292770 | VWAP: 0.744576 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.060000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 8.000 | Exchange: TSX | 
Innergex Renewable Energy Inc. | INE | Volume: 144486 | Value: 13.99 | Open: 13.96 | High: 14.04 | SharesOut.: 132566525 | Beta: 0.373 | Prev.Close: 13.96 | Low: 13.90 | MarketCap: 1854605685 | VWAP: 13.961763 | Dividend: 0.170CAD | Div.Frequency: Quarterly | P/ERatio: 99.700 | EPS: 0.14 | Yield: 4.861 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.002 | Exchange: TSX | 
Inovalis Real Estate Investment Trust | INO.UN | Volume: 15578 | Value: 10.26 | Open: 10.24 | High: 10.28 | SharesOut.: 22759476 | Beta: 0.067 | Prev.Close: 10.25 | Low: 10.21 | MarketCap: 233512224 | VWAP: 10.242763 | Dividend: 0.069CAD | Div.Frequency: Monthly | P/ERatio: 15.500 | EPS: 0.360000 | Yield: 8.041 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.842 | Exchange: TSX | 
InPlay Oil Corp. | IPO | Volume: 31000 | Value: 1.80 | Open: 1.72 | High: 1.82 | SharesOut.: 67886619 | Beta: 3.699 | Prev.Close: 1.72 | Low: 1.72 | MarketCap: 122195914 | VWAP: 1.778871 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.120000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.636 | Exchange: TSX | 
INSCAPE Corporation | INQ | Volume: 0 | Value: 1.80 | Open: N/A | High: N/A | SharesOut.: 9034820 | Beta: 0.134 | Prev.Close: 1.80 | Low: N/A | MarketCap: 16262676 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.040 | Exchange: TSX | 
Intact Financial Corporation | IFC | Volume: 144543 | Value: 93.64 | Open: 94.02 | High: 94.23 | SharesOut.: 139188634 | Beta: 0.397 | Prev.Close: 94.11 | Low: 93.62 | MarketCap: 13033623688 | VWAP: 93.832956 | Dividend: 0.700CAD | Div.Frequency: Quarterly | P/ERatio: 17.600 | EPS: 5.75 | Yield: 2.990 | Ex-DivDate: 06/14/2018 | P/BRatio: 1.979 | Exchange: TSX | 
Integrated Asset Management Corp. | IAM | Volume: 0 | Value: 1.55 | Open: N/A | High: N/A | SharesOut.: 27713127 | Beta: 0.600 | Prev.Close: 1.55 | Low: N/A | MarketCap: 42955347 | VWAP: N/A | Dividend: 0.020CAD | Div.Frequency: Quarterly | P/ERatio: 22.100 | EPS: 0.07 | Yield: 5.161 | Ex-DivDate: 05/23/2018 | P/BRatio: 2.385 | Exchange: TSX | 
IntelliPharmaCeutics International Inc. | IPCI | Volume: 10500 | Value: 0.49 | Open: 0.58 | High: 0.59 | SharesOut.: 43537849 | Beta: 0.705 | Prev.Close: 0.55 | Low: 0.49 | MarketCap: 21333546 | VWAP: 0.555238 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.380000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -6.125 | Exchange: TSX | 
Inter Pipeline Ltd. | IPL | Volume: 1055014 | Value: 24.81 | Open: 24.96 | High: 24.96 | SharesOut.: 385540467 | Beta: 1.174 | Prev.Close: 24.80 | Low: 24.70 | MarketCap: 9565258986 | VWAP: 24.804292 | Dividend: 0.140CAD | Div.Frequency: Monthly | P/ERatio: 17.700 | EPS: 1.410000 | Yield: 6.771 | Ex-DivDate: 06/21/2018 | P/BRatio: 2.659 | Exchange: TSX | 
Interfor Corporation | IFP | Volume: 625703 | Value: 24.19 | Open: 24.13 | High: 24.60 | SharesOut.: 70038162 | Beta: 1.820 | Prev.Close: 24.02 | Low: 24.13 | MarketCap: 1694223139 | VWAP: 24.298663 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 15.200 | EPS: 1.580000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.880 | Exchange: TSX | 
Intermap Technologies Corporation | IMP | Volume: 0 | Value: 0.395 | Open: N/A | High: N/A | SharesOut.: 16396289 | Beta: -5.376 | Prev.Close: 0.395 | Low: N/A | MarketCap: 6476534 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.100000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -0.216 | Exchange: TSX | 
International Petroleum Corporation | IPCO | Volume: 1700 | Value: 9.09 | Open: 8.94 | High: 9.09 | SharesOut.: 87921846 | Beta: 5.743 | Prev.Close: 8.51 | Low: 8.94 | MarketCap: 799209580 | VWAP: 8.998235 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 17.200 | EPS: 0.300000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.796 | Exchange: TSX | 
International Tower Hill Mines Ltd. | ITH | Volume: 0 | Value: 0.72 | Open: N/A | High: N/A | SharesOut.: 186816683 | Beta: 3.197 | Prev.Close: 0.72 | Low: N/A | MarketCap: 134508012 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.05 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.469 | Exchange: TSX | 
InterRent Real Estate Investment Trust | IIP.UN | Volume: 89329 | Value: 10.80 | Open: 10.85 | High: 10.91 | SharesOut.: 94609396 | Beta: 0.426 | Prev.Close: 10.85 | Low: 10.74 | MarketCap: 1021781477 | VWAP: 10.806229 | Dividend: 0.023CAD | Div.Frequency: Monthly | P/ERatio: 5.000 | EPS: N/A | Yield: 2.500 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.153 | Exchange: TSX | 
Intertape Polymer Group Inc. | ITP | Volume: 260747 | Value: 18.05 | Open: 17.74 | High: 18.31 | SharesOut.: 58817410 | Beta: 0.602 | Prev.Close: 17.74 | Low: 17.70 | MarketCap: 1061654251 | VWAP: 17.985583 | Dividend: 0.140USD | Div.Frequency: Quarterly | P/ERatio: 13.200 | EPS: 1.420000 | Yield: 3.988 | Ex-DivDate: 06/14/2018 | P/BRatio: 3.167 | Exchange: TSX | 
Intrinsyc Technologies Corporation | ITC | Volume: 40425 | Value: 1.48 | Open: 1.48 | High: 1.50 | SharesOut.: 20855663 | Beta: 1.153 | Prev.Close: 1.48 | Low: 1.42 | MarketCap: 30866381 | VWAP: 1.482910 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 32.600 | EPS: 0.05 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.783 | Exchange: TSX | 
INV Metals Inc. | INV | Volume: 0 | Value: 0.49 | Open: N/A | High: N/A | SharesOut.: 92598651 | Beta: 5.674 | Prev.Close: 0.49 | Low: N/A | MarketCap: 45373339 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.05 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.590 | Exchange: TSX | 
Invesco S&P 500 Equal Weight Index ETF | EQL | Volume: 6900 | Value: 20.85 | Open: 20.85 | High: 20.85 | SharesOut.: 1100000 | Beta: N/A | Prev.Close: 20.85 | Low: 20.74 | MarketCap: 22935000 | VWAP: 20.824493 | Dividend: 0.081CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 1.546 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
Invesque Inc. | IVQ.DB.U | Volume: 11000 | Value: 96.60 | Open: 96.60 | High: 96.60 | SharesOut.: 450000 | Beta: -0.087 | Prev.Close: 96.75 | Low: 96.60 | MarketCap: 43470000 | VWAP: 96.60 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Investment Grade Infrastructure Bond Fund | IFB.UN | Volume: 900 | Value: 8.56 | Open: 8.53 | High: 8.56 | SharesOut.: 3007901 | Beta: 0.453 | Prev.Close: 8.52 | Low: 8.53 | MarketCap: 25747633 | VWAP: 8.543333 | Dividend: 0.042CAD | Div.Frequency: Monthly | P/ERatio: 14.900 | EPS: 0.570000 | Yield: 5.840 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.985 | Exchange: TSX | 
Iron Bridge Resources Inc. | IBR | Volume: 200325 | Value: 0.75 | Open: 0.75 | High: 0.75 | SharesOut.: 154820692 | Beta: 4.515 | Prev.Close: 0.75 | Low: 0.74 | MarketCap: 116115519 | VWAP: 0.746341 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.050000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.316 | Exchange: TSX | 
iShares 1-10 Year Laddered Corporate Bond Index ETF | CBH | Volume: 6740 | Value: 18.65 | Open: 18.63 | High: 18.65 | SharesOut.: 13500000 | Beta: 0.037 | Prev.Close: 18.63 | Low: 18.62 | MarketCap: 251775000 | VWAP: 18.644242 | Dividend: 0.057CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.200000 | Yield: 3.721 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares 1-10 Year Laddered Government Bond Index ETF | CLG | Volume: 3422 | Value: 18.33 | Open: 18.35 | High: 18.35 | SharesOut.: 14350000 | Beta: 0.005 | Prev.Close: 18.32 | Low: 18.33 | MarketCap: 263035500 | VWAP: 18.337879 | Dividend: 0.047CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.030000 | Yield: 3.115 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares 1-5 Year Laddered Corporate Bond Index ETF | CBO | Volume: 23341 | Value: 18.39 | Open: 18.37 | High: 18.40 | SharesOut.: 74000000 | Beta: 0.060 | Prev.Close: 18.37 | Low: 18.37 | MarketCap: 1360860000 | VWAP: 18.374439 | Dividend: 0.041CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.480000 | Yield: 2.717 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares 1-5 Year Laddered Government Bond Index ETF | CLF | Volume: 30989 | Value: 17.84 | Open: 17.83 | High: 17.84 | SharesOut.: 40200000 | Beta: -0.002 | Prev.Close: 17.82 | Low: 17.82 | MarketCap: 717168000 | VWAP: 17.829885 | Dividend: 0.040CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.210000 | Yield: 2.736 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Balanced Growth CorePortfolio Index ETF | CBN | Volume: 56 | Value: 21.28 | Open: 0.00 | High: 0.00 | SharesOut.: 2225000 | Beta: 0.666 | Prev.Close: 21.28 | Low: 0.00 | MarketCap: 47348000 | VWAP: N/A | Dividend: 0.034CAD | Div.Frequency: Monthly | P/ERatio: 14.100 | EPS: 1.470000 | Yield: 2.105 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.640 | Exchange: TSX | 
iShares Balanced Income CorePortfolio Index ETF | CBD | Volume: 7576 | Value: 22.00 | Open: 22.02 | High: 22.02 | SharesOut.: 2925000 | Beta: 0.427 | Prev.Close: 21.96 | Low: 22.00 | MarketCap: 64350000 | VWAP: 22.018933 | Dividend: 0.059CAD | Div.Frequency: Monthly | P/ERatio: 13.300 | EPS: 0.930000 | Yield: 3.123 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.710 | Exchange: TSX | 
iShares Canadian Corporate Bond Index ETF | XCB | Volume: 34418 | Value: 21.06 | Open: 21.07 | High: 21.08 | SharesOut.: 75600000 | Beta: 0.109 | Prev.Close: 21.07 | Low: 21.05 | MarketCap: 1592136000 | VWAP: 21.058929 | Dividend: 0.054CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 1.170000 | Yield: 3.063 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Canadian Financial Monthly Income ETF | FIE | Volume: 229886 | Value: 7.36 | Open: 7.41 | High: 7.41 | SharesOut.: 80450000 | Beta: 0.861 | Prev.Close: 7.38 | Low: 7.36 | MarketCap: 592112000 | VWAP: 7.375630 | Dividend: 0.040CAD | Div.Frequency: Monthly | P/ERatio: 11.500 | EPS: 0.760000 | Yield: 6.522 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.520 | Exchange: TSX | 
iShares Canadian Government Bond Index ETF | XGB | Volume: 10186 | Value: 21.47 | Open: 21.44 | High: 21.47 | SharesOut.: 17700000 | Beta: 0.021 | Prev.Close: 21.44 | Low: 21.42 | MarketCap: 380019000 | VWAP: 21.448812 | Dividend: 0.043CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.490000 | Yield: 2.399 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Canadian Growth Index ETF | XCG | Volume: 1058 | Value: 31.32 | Open: 31.55 | High: 31.55 | SharesOut.: 1300000 | Beta: 0.760 | Prev.Close: 31.16 | Low: 31.32 | MarketCap: 40716000 | VWAP: 31.451111 | Dividend: 0.173CAD | Div.Frequency: Quarterly | P/ERatio: 19.500 | EPS: -0.080000 | Yield: 1.427 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.440 | Exchange: TSX | 
iShares Canadian HYBrid Corporate Bond Index ETF | XHB | Volume: 4382 | Value: 20.48 | Open: 20.52 | High: 20.52 | SharesOut.: 21400000 | Beta: 0.311 | Prev.Close: 20.42 | Low: 20.46 | MarketCap: 438272000 | VWAP: 20.489524 | Dividend: 0.068CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 1.640000 | Yield: 4.019 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Canadian Real Return Bond Index ETF | XRB | Volume: 7356 | Value: 24.72 | Open: 24.65 | High: 24.72 | SharesOut.: 18200000 | Beta: 0.229 | Prev.Close: 24.72 | Low: 24.65 | MarketCap: 449904000 | VWAP: 24.660870 | Dividend: 0.221CAD | Div.Frequency: Semi-Annual | P/ERatio: N/A | EPS: 0.580000 | Yield: 1.784 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Canadian Select Dividend Index ETF | XDV | Volume: 33258 | Value: 24.61 | Open: 24.77 | High: 24.77 | SharesOut.: 56500000 | Beta: 0.977 | Prev.Close: 24.76 | Low: 24.58 | MarketCap: 1390465000 | VWAP: 24.644398 | Dividend: 0.079CAD | Div.Frequency: Monthly | P/ERatio: 12.600 | EPS: 1.800000 | Yield: 4.059 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.660 | Exchange: TSX | 
iShares Canadian Value Index ETF | XCV | Volume: 5329 | Value: 26.86 | Open: 26.94 | High: 26.98 | SharesOut.: 2400000 | Beta: 1.116 | Prev.Close: 27.00 | Low: 26.86 | MarketCap: 64464000 | VWAP: 26.943846 | Dividend: 0.215CAD | Div.Frequency: Quarterly | P/ERatio: 14.700 | EPS: 1.930000 | Yield: 2.643 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.650 | Exchange: TSX | 
iShares China Index ETF | XCH | Volume: 17109 | Value: 27.11 | Open: 27.40 | High: 27.44 | SharesOut.: 1450000 | Beta: 0.672 | Prev.Close: 27.76 | Low: 26.97 | MarketCap: 39309500 | VWAP: 27.058712 | Dividend: 0.233CAD | Div.Frequency: Semi-Annual | P/ERatio: 9.900 | EPS: 2.760000 | Yield: 2.889 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.200 | Exchange: TSX | 
iShares Conservative Short Term Strategic Fixed Income ETF | XSC | Volume: 1140 | Value: 19.57 | Open: 19.56 | High: 19.57 | SharesOut.: 9200000 | Beta: 0.166 | Prev.Close: 19.57 | Low: 19.56 | MarketCap: 180044000 | VWAP: 19.569091 | Dividend: 0.042CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.862 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Conservative Strategic Fixed Income ETF | XSE | Volume: 5497 | Value: 19.82 | Open: 19.87 | High: 19.87 | SharesOut.: 13200000 | Beta: 0.287 | Prev.Close: 19.82 | Low: 19.82 | MarketCap: 261624000 | VWAP: 19.828846 | Dividend: 0.046CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.317 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Convertible Bond Index ETF | CVD | Volume: 9224 | Value: 18.50 | Open: 18.67 | High: 18.67 | SharesOut.: 6700000 | Beta: 0.256 | Prev.Close: 18.57 | Low: 18.45 | MarketCap: 123950000 | VWAP: 18.606966 | Dividend: 0.072CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.708 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Core Canadian Long Term Bond Index ETF | XLB | Volume: 6331 | Value: 24.03 | Open: 24.01 | High: 24.03 | SharesOut.: 15200000 | Beta: 0.120 | Prev.Close: 23.95 | Low: 24.01 | MarketCap: 365256000 | VWAP: 24.0165 | Dividend: 0.069CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.990000 | Yield: 3.458 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Core Canadian Short Term Bond Index ETF | XSB | Volume: 44968 | Value: 27.305 | Open: 27.29 | High: 27.31 | SharesOut.: 70400000 | Beta: 0.013 | Prev.Close: 27.27 | Low: 27.28 | MarketCap: 1922272000 | VWAP: 27.290136 | Dividend: 0.055CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.790000 | Yield: 2.400 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Core Canadian Short Term Corporate + Maple Bond Index ETF | XSH | Volume: 50769 | Value: 19.02 | Open: 19.00 | High: 19.03 | SharesOut.: 46600000 | Beta: 0.055 | Prev.Close: 19.03 | Low: 19.00 | MarketCap: 886332000 | VWAP: 19.021050 | Dividend: 0.046CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.740000 | Yield: 2.892 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Core Canadian Universe Bond Index ETF | XBB | Volume: 42226 | Value: 30.84 | Open: 30.81 | High: 30.87 | SharesOut.: 79800000 | Beta: 0.049 | Prev.Close: 30.80 | Low: 30.78 | MarketCap: 2461032000 | VWAP: 30.811563 | Dividend: 0.074CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 1.010000 | Yield: 2.902 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Core MSCI All Country World ex Canada Index ETF | XAW | Volume: 49890 | Value: 25.83 | Open: 26.00 | High: 26.04 | SharesOut.: 26800000 | Beta: 0.553 | Prev.Close: 25.97 | Low: 25.73 | MarketCap: 692244000 | VWAP: 25.902516 | Dividend: 0.242CAD | Div.Frequency: Semi-Annual | P/ERatio: 17.100 | EPS: N/A | Yield: 2.007 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.140 | Exchange: TSX | 
