5N Plus Inc. | VNP | Volume: 11790 | Value: 3.33 | Open: 3.26 | High: 3.35 | SharesOut.: 84251041 | Beta: 0.579 | Prev.Close: 3.30 | Low: 3.26 | MarketCap: 280555967 | VWAP: 3.318718 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 19.700 | EPS: 0.170000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.914 | Exchange: TSX | 
Vanguard Conservative ETF Portfolio | VCNS | Volume: 3752 | Value: 25.10 | Open: 25.14 | High: 25.14 | SharesOut.: 2480000 | Beta: 0.172 | Prev.Close: 25.12 | Low: 25.08 | MarketCap: 62248000 | VWAP: 25.091892 | Dividend: 0.107CAD | Div.Frequency: Quarterly | P/ERatio: 16.600 | EPS: N/A | Yield: 1.249 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.000 | Exchange: TSX | 
Vanguard FTSE Canada All Cap Index ETF | VCN | Volume: 20037 | Value: 32.90 | Open: 33.01 | High: 33.11 | SharesOut.: 44775000 | Beta: 1.057 | Prev.Close: 33.02 | Low: 32.87 | MarketCap: 1473097500 | VWAP: 32.973878 | Dividend: 0.194CAD | Div.Frequency: Quarterly | P/ERatio: 15.700 | EPS: N/A | Yield: 2.390 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.790 | Exchange: TSX | 
Vanguard FTSE Canada Index ETF | VCE | Volume: 12547 | Value: 34.27 | Open: 34.41 | High: 34.49 | SharesOut.: 17200000 | Beta: 0.989 | Prev.Close: 34.36 | Low: 34.23 | MarketCap: 589444000 | VWAP: 34.360847 | Dividend: 0.244CAD | Div.Frequency: Quarterly | P/ERatio: 15.800 | EPS: N/A | Yield: 2.793 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.870 | Exchange: TSX | 
Vanguard FTSE Canadian Capped REIT Index ETF | VRE | Volume: 5583 | Value: 31.82 | Open: 31.87 | High: 31.91 | SharesOut.: 5550000 | Beta: 0.520 | Prev.Close: 31.95 | Low: 31.78 | MarketCap: 176601000 | VWAP: 31.839184 | Dividend: 0.102CAD | Div.Frequency: Monthly | P/ERatio: 8.100 | EPS: N/A | Yield: 3.321 | Ex-DivDate: 06/29/2018 | P/BRatio: 1.200 | Exchange: TSX | 
Vanguard FTSE Canadian High Dividend Yield Index ETF | VDY | Volume: 29983 | Value: 33.31 | Open: 33.50 | High: 33.52 | SharesOut.: 13300000 | Beta: 1.014 | Prev.Close: 33.45 | Low: 33.29 | MarketCap: 443023000 | VWAP: 33.345257 | Dividend: 0.094CAD | Div.Frequency: Monthly | P/ERatio: 14.600 | EPS: N/A | Yield: 3.858 | Ex-DivDate: 06/29/2018 | P/BRatio: 1.680 | Exchange: TSX | 
Vanguard FTSE Developed All Cap ex North America Index ETF | VIU | Volume: 54429 | Value: 28.73 | Open: 28.85 | High: 29.01 | SharesOut.: 22000000 | Beta: 0.536 | Prev.Close: 28.91 | Low: 28.69 | MarketCap: 632060000 | VWAP: 28.768757 | Dividend: 0.312CAD | Div.Frequency: Quarterly | P/ERatio: 14.600 | EPS: N/A | Yield: 2.227 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.570 | Exchange: TSX | 
Vanguard FTSE Developed All Cap ex North America Index ETF (CAD-Hedged) | VI | Volume: 2979 | Value: 28.41 | Open: 28.58 | High: 28.58 | SharesOut.: 5025000 | Beta: 0.899 | Prev.Close: 28.45 | Low: 28.39 | MarketCap: 142760250 | VWAP: 28.494231 | Dividend: 0.321CAD | Div.Frequency: Quarterly | P/ERatio: 14.300 | EPS: N/A | Yield: 2.333 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.530 | Exchange: TSX | 
Vanguard FTSE Developed All Cap Ex U.S. Index ETF | VDU | Volume: 30193 | Value: 35.69 | Open: 35.91 | High: 35.91 | SharesOut.: 11015000 | Beta: 0.575 | Prev.Close: 35.81 | Low: 35.54 | MarketCap: 393125350 | VWAP: 35.643533 | Dividend: 0.363CAD | Div.Frequency: Quarterly | P/ERatio: 14.600 | EPS: N/A | Yield: 2.330 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.580 | Exchange: TSX | 
Vanguard FTSE Developed All Cap Ex U.S. Index ETF (CAD-hedged) | VEF | Volume: 13078 | Value: 40.46 | Open: 40.76 | High: 40.79 | SharesOut.: 14200000 | Beta: 0.776 | Prev.Close: 40.60 | Low: 40.42 | MarketCap: 574532000 | VWAP: 40.601065 | Dividend: 0.416CAD | Div.Frequency: Quarterly | P/ERatio: 14.600 | EPS: N/A | Yield: 2.390 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.580 | Exchange: TSX | 
Vanguard FTSE Developed Asia Pacific All Cap Index ETF | VA | Volume: 4694 | Value: 35.36 | Open: 35.52 | High: 35.61 | SharesOut.: 3920000 | Beta: 0.514 | Prev.Close: 35.60 | Low: 35.36 | MarketCap: 138611200 | VWAP: 35.551591 | Dividend: 0.226CAD | Div.Frequency: Quarterly | P/ERatio: 13.800 | EPS: N/A | Yield: 1.729 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.400 | Exchange: TSX | 
Vanguard FTSE Developed Asia Pacific All Cap Index ETF (CAD-hedged) | VAH | Volume: 2924 | Value: 30.69 | Open: 30.69 | High: 30.69 | SharesOut.: 1625000 | Beta: 0.625 | Prev.Close: 30.75 | Low: 30.68 | MarketCap: 49871250 | VWAP: 30.688148 | Dividend: 0.196CAD | Div.Frequency: Quarterly | P/ERatio: 13.600 | EPS: N/A | Yield: 1.778 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.370 | Exchange: TSX | 
Vanguard FTSE Developed Europe All Cap Index ETF | VE | Volume: 23369 | Value: 29.31 | Open: 29.40 | High: 29.55 | SharesOut.: 9870000 | Beta: 0.584 | Prev.Close: 29.43 | Low: 29.20 | MarketCap: 289289700 | VWAP: 29.327381 | Dividend: 0.479CAD | Div.Frequency: Quarterly | P/ERatio: 15.100 | EPS: N/A | Yield: 2.792 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.730 | Exchange: TSX | 
Vanguard FTSE Developed Europe All Cap Index ETF (CAD-hedged) | VEH | Volume: 1715 | Value: 28.87 | Open: 28.92 | High: 28.92 | SharesOut.: 1225000 | Beta: 0.552 | Prev.Close: 28.90 | Low: 28.87 | MarketCap: 35365750 | VWAP: 28.908125 | Dividend: 0.479CAD | Div.Frequency: Quarterly | P/ERatio: 14.900 | EPS: N/A | Yield: 6.636 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.670 | Exchange: TSX | 
Vanguard FTSE Emerging Markets All Cap Index ETF | VEE | Volume: 123380 | Value: 33.09 | Open: 33.56 | High: 33.56 | SharesOut.: 25670000 | Beta: 0.700 | Prev.Close: 33.69 | Low: 32.90 | MarketCap: 849420300 | VWAP: 33.114882 | Dividend: 0.182CAD | Div.Frequency: Quarterly | P/ERatio: 11.600 | EPS: N/A | Yield: 2.035 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.520 | Exchange: TSX | 
Vanguard FTSE Global All Cap ex Canada Index ETF | VXC | Volume: 16879 | Value: 36.89 | Open: 37.00 | High: 37.19 | SharesOut.: 21610000 | Beta: 0.519 | Prev.Close: 37.15 | Low: 36.81 | MarketCap: 797192900 | VWAP: 37.022264 | Dividend: 0.235CAD | Div.Frequency: Quarterly | P/ERatio: 17.100 | EPS: N/A | Yield: 1.698 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.160 | Exchange: TSX | 
