CIBT Education Group Inc. | MBA | Volume: 0 | Value: 0.75 | Open: N/A | High: N/A | SharesOut.: 78878540 | Beta: -0.003 | Prev.Close: 0.75 | Low: N/A | MarketCap: 59158905 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.786 | Exchange: TSX | 
Mackenzie Maximum Diversification Canada Index ETF | MKC | Volume: 732 | Value: 23.10 | Open: 23.10 | High: 23.10 | SharesOut.: 11300000 | Beta: 0.834 | Prev.Close: 23.03 | Low: 23.10 | MarketCap: 261030000 | VWAP: 23.10 | Dividend: 0.095CAD | Div.Frequency: Quarterly | P/ERatio: 16.500 | EPS: N/A | Yield: 1.562 | Ex-DivDate: 06/18/2018 | P/BRatio: 2.100 | Exchange: TSX | 
Mackenzie Maximum Diversification Developed Europe Index ETF | MEU | Volume: 8574 | Value: 23.20 | Open: 23.22 | High: 23.22 | SharesOut.: 3400000 | Beta: 0.158 | Prev.Close: 23.21 | Low: 23.20 | MarketCap: 78880000 | VWAP: 23.200482 | Dividend: 0.273CAD | Div.Frequency: Quarterly | P/ERatio: 16.800 | EPS: N/A | Yield: 2.062 | Ex-DivDate: 06/18/2018 | P/BRatio: 1.960 | Exchange: TSX | 
Mackenzie Maximum Diversification Emerging Markets Index ETF | MEE | Volume: 4250 | Value: 24.35 | Open: 24.60 | High: 24.60 | SharesOut.: 5700000 | Beta: 0.184 | Prev.Close: 24.79 | Low: 24.35 | MarketCap: 138795000 | VWAP: 24.594048 | Dividend: 0.062CAD | Div.Frequency: Semi-Annual | P/ERatio: 18.800 | EPS: N/A | Yield: 1.074 | Ex-DivDate: 06/18/2018 | P/BRatio: 2.240 | Exchange: TSX | 
Mackenzie Maximum Diversification US Index ETF | MUS | Volume: 10000 | Value: 26.58 | Open: 26.79 | High: 26.79 | SharesOut.: 2600000 | Beta: 0.573 | Prev.Close: 26.70 | Low: 26.55 | MarketCap: 69108000 | VWAP: 26.6688 | Dividend: 0.052CAD | Div.Frequency: Quarterly | P/ERatio: 20.500 | EPS: N/A | Yield: 0.778 | Ex-DivDate: 06/18/2018 | P/BRatio: 3.260 | Exchange: TSX | 
Mackenzie Portfolio Completion ETF | MPCF | Volume: 0 | Value: 20.09 | Open: N/A | High: N/A | SharesOut.: 375000 | Beta: 0.209 | Prev.Close: 20.09 | Low: N/A | MarketCap: 7533750 | VWAP: N/A | Dividend: 0.234CAD | Div.Frequency: Semi-Annual | P/ERatio: 16.400 | EPS: N/A | Yield: 1.235 | Ex-DivDate: 06/18/2018 | P/BRatio: 1.800 | Exchange: TSX | 
Mackenzie Unconstrained Bond ETF | MUB | Volume: 2974 | Value: 20.82 | Open: 20.82 | High: 20.82 | SharesOut.: 13400000 | Beta: 0.074 | Prev.Close: 20.80 | Low: 20.80 | MarketCap: 278988000 | VWAP: 20.812963 | Dividend: 0.068CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.254 | Ex-DivDate: 06/18/2018 | P/BRatio: N/A | Exchange: TSX | 
Mackenzie US High Yield Bond Index ETF (CAD-Hedged) | QHY | Volume: 200 | Value: 97.09 | Open: 97.09 | High: 97.09 | SharesOut.: 60000 | Beta: 0.253 | Prev.Close: 97.07 | Low: 97.09 | MarketCap: 5825400 | VWAP: 97.09 | Dividend: 0.459CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 5.672 | Ex-DivDate: 06/18/2018 | P/BRatio: N/A | Exchange: TSX | 
Mackenzie US Investment Grade Corporate Bond Index ETF (CAD-Hedged) | QUIG | Volume: 10 | Value: 96.51 | Open: 0.00 | High: 0.00 | SharesOut.: 1540000 | Beta: 0.116 | Prev.Close: 96.51 | Low: 0.00 | MarketCap: 148625400 | VWAP: N/A | Dividend: 0.039CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 0.489 | Ex-DivDate: 06/18/2018 | P/BRatio: N/A | Exchange: TSX | 
Mackenzie US Large Cap Equity Index ETF | QUU | Volume: 0 | Value: 105.13 | Open: N/A | High: N/A | SharesOut.: 1450000 | Beta: 0.455 | Prev.Close: 105.13 | Low: N/A | MarketCap: 152438500 | VWAP: N/A | Dividend: 0.394CAD | Div.Frequency: Quarterly | P/ERatio: 20.700 | EPS: N/A | Yield: 0.888 | Ex-DivDate: 06/18/2018 | P/BRatio: 3.220 | Exchange: TSX | 
Mackenzie US Large Cap Equity Index ETF (CAD-Hedged) | QAH | Volume: 100 | Value: 95.68 | Open: 95.68 | High: 95.68 | SharesOut.: 20000 | Beta: 1.459 | Prev.Close: 98.58 | Low: 95.68 | MarketCap: 1913600 | VWAP: 95.68 | Dividend: 0.365CAD | Div.Frequency: Quarterly | P/ERatio: 20.600 | EPS: N/A | Yield: 0.905 | Ex-DivDate: 06/18/2018 | P/BRatio: 3.220 | Exchange: TSX | 
Madison Pacific Properties Inc. | MPC | Volume: 4200 | Value: 3.30 | Open: 3.32 | High: 3.32 | SharesOut.: 7255501 | Beta: 0.533 | Prev.Close: 3.33 | Low: 3.30 | MarketCap: 23943153 | VWAP: 3.302381 | Dividend: 0.053CAD | Div.Frequency: Semi-Annual | P/ERatio: 3.700 | EPS: 0.890000 | Yield: 3.182 | Ex-DivDate: 02/07/2018 | P/BRatio: 0.648 | Exchange: TSX | 
MAG Silver Corp. | MAG | Volume: 123102 | Value: 14.41 | Open: 14.64 | High: 14.69 | SharesOut.: 85503249 | Beta: 1.825 | Prev.Close: 14.67 | Low: 14.41 | MarketCap: 1232101818 | VWAP: 14.554176 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.100000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 4.213 | Exchange: TSX | 
Magellan Aerospace Corporation | MAL | Volume: 120873 | Value: 15.46 | Open: 15.02 | High: 15.55 | SharesOut.: 58209001 | Beta: 0.342 | Prev.Close: 15.51 | Low: 15.02 | MarketCap: 899911155 | VWAP: 15.217286 | Dividend: 0.085CAD | Div.Frequency: Quarterly | P/ERatio: 10.100 | EPS: 1.530000 | Yield: 2.199 | Ex-DivDate: 06/14/2018 | P/BRatio: 1.231 | Exchange: TSX | 
Magna International Inc. | MG | Volume: 1047032 | Value: 80.61 | Open: 81.30 | High: 81.75 | SharesOut.: 351196381 | Beta: 1.285 | Prev.Close: 81.33 | Low: 80.50 | MarketCap: 28309940272 | VWAP: 81.139829 | Dividend: 0.330USD | Div.Frequency: Quarterly | P/ERatio: 10.100 | EPS: 7.700000 | Yield: 2.105 | Ex-DivDate: 05/24/2018 | P/BRatio: 1.846 | Exchange: TSX | 
Mainstreet Equity Corp. | MEQ | Volume: 1070 | Value: 43.37 | Open: 43.38 | High: 43.41 | SharesOut.: 8832305 | Beta: 1.025 | Prev.Close: 43.00 | Low: 43.37 | MarketCap: 383057068 | VWAP: 43.393000 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 3.400 | EPS: 12.540000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.554 | Exchange: TSX | 
Major Drilling Group International Inc. | MDI | Volume: 81651 | Value: 6.50 | Open: 6.77 | High: 6.82 | SharesOut.: 80299984 | Beta: 0.718 | Prev.Close: 6.79 | Low: 6.47 | MarketCap: 521949896 | VWAP: 6.579755 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.330000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.401 | Exchange: TSX | 
Mandalay Resources Corporation | MND | Volume: 51560 | Value: 0.19 | Open: 0.185 | High: 0.19 | SharesOut.: 451595777 | Beta: 1.236 | Prev.Close: 0.19 | Low: 0.185 | MarketCap: 85803198 | VWAP: 0.185711 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.120000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.388 | Exchange: TSX | 
Manulife Financial Corporation | MFC | Volume: 3744569 | Value: 24.05 | Open: 24.41 | High: 24.49 | SharesOut.: 1983578273 | Beta: 1.067 | Prev.Close: 24.31 | Low: 23.95 | MarketCap: 47705057466 | VWAP: 24.107926 | Dividend: 0.220CAD | Div.Frequency: Quarterly | P/ERatio: 24.600 | EPS: 0.990000 | Yield: 3.659 | Ex-DivDate: 05/14/2018 | P/BRatio: 1.214 | Exchange: TSX | 
Manulife Floating Rate Senior Loan Fund | MFR.UN | Volume: 47510 | Value: 8.20 | Open: 8.11 | High: 8.20 | SharesOut.: 13603776 | Beta: 0.566 | Prev.Close: 8.11 | Low: 8.08 | MarketCap: 111550963 | VWAP: 8.134632 | Dividend: 0.056CAD | Div.Frequency: Monthly | P/ERatio: 10.900 | EPS: 0.590000 | Yield: 8.232 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.708 | Exchange: TSX | 
Manulife Multifactor Canadian Large Cap Index ETF | MCLC | Volume: 0 | Value: 26.52 | Open: N/A | High: N/A | SharesOut.: 1150000 | Beta: 1.014 | Prev.Close: 26.52 | Low: N/A | MarketCap: 30498000 | VWAP: N/A | Dividend: 0.252CAD | Div.Frequency: Semi-Annual | P/ERatio: 14.500 | EPS: N/A | Yield: 2.218 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.800 | Exchange: TSX | 
Manulife Multifactor Canadian SMID Cap Index ETF | MCSM | Volume: 0 | Value: 25.80 | Open: N/A | High: N/A | SharesOut.: 200000 | Beta: 0.547 | Prev.Close: 25.80 | Low: N/A | MarketCap: 5160000 | VWAP: N/A | Dividend: 0.167CAD | Div.Frequency: Semi-Annual | P/ERatio: 15.200 | EPS: N/A | Yield: 0.788 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.480 | Exchange: TSX | 
Manulife Multifactor Developed International Index ETF | MINT | Volume: 426 | Value: 27.25 | Open: 27.43 | High: 27.43 | SharesOut.: 1500000 | Beta: 0.687 | Prev.Close: 27.20 | Low: 27.25 | MarketCap: 40875000 | VWAP: 27.34 | Dividend: 0.376CAD | Div.Frequency: Semi-Annual | P/ERatio: 14.700 | EPS: N/A | Yield: 2.757 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.590 | Exchange: TSX | 
Manulife Multifactor U.S. Large Cap Index ETF | MULC | Volume: 0 | Value: 28.69 | Open: N/A | High: N/A | SharesOut.: 200000 | Beta: 0.434 | Prev.Close: 28.69 | Low: N/A | MarketCap: 5738000 | VWAP: N/A | Dividend: 0.205CAD | Div.Frequency: Semi-Annual | P/ERatio: 19.700 | EPS: N/A | Yield: 1.635 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.960 | Exchange: TSX | 
Manulife Multifactor U.S. Mid Cap Index ETF | MUMC | Volume: 0 | Value: 28.97 | Open: N/A | High: N/A | SharesOut.: 200000 | Beta: 0.559 | Prev.Close: 28.97 | Low: N/A | MarketCap: 5794000 | VWAP: N/A | Dividend: 0.202CAD | Div.Frequency: Semi-Annual | P/ERatio: 20.700 | EPS: N/A | Yield: 1.408 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.640 | Exchange: TSX | 
Manulife Multifactor U.S. Small Cap Index ETF | MUSC | Volume: 0 | Value: 26.70 | Open: N/A | High: N/A | SharesOut.: 100000 | Beta: -0.596 | Prev.Close: 26.70 | Low: N/A | MarketCap: 2670000 | VWAP: N/A | Dividend: 0.109CAD | Div.Frequency: Semi-Annual | P/ERatio: 20.000 | EPS: N/A | Yield: 0.473 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.270 | Exchange: TSX | 
Manulife U.S. Regional Bank Trust | MBK.UN | Volume: 11000 | Value: 13.35 | Open: 13.48 | High: 13.48 | SharesOut.: 4769957 | Beta: 1.020 | Prev.Close: 13.55 | Low: 13.32 | MarketCap: 63678926 | VWAP: 13.393091 | Dividend: 0.042CAD | Div.Frequency: Monthly | P/ERatio: 28.000 | EPS: 0.560000 | Yield: 3.739 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.978 | Exchange: TSX | 
Maple Leaf Foods Inc. | MFI | Volume: 241591 | Value: 32.16 | Open: 32.58 | High: 32.70 | SharesOut.: 127233789 | Beta: 0.892 | Prev.Close: 32.49 | Low: 32.12 | MarketCap: 4091838654 | VWAP: 32.286352 | Dividend: 0.130CAD | Div.Frequency: Quarterly | P/ERatio: 25.600 | EPS: 1.270000 | Yield: 1.617 | Ex-DivDate: 06/07/2018 | P/BRatio: 1.960 | Exchange: TSX | 
Marathon Gold Corporation | MOZ | Volume: 169800 | Value: 0.90 | Open: 0.91 | High: 0.92 | SharesOut.: 150631702 | Beta: 2.326 | Prev.Close: 0.91 | Low: 0.88 | MarketCap: 135568532 | VWAP: 0.901994 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.698 | Exchange: TSX | 
Marret Resource Corp. | MAR | Volume: 0 | Value: 0.48 | Open: N/A | High: N/A | SharesOut.: 17702767 | Beta: 0.985 | Prev.Close: 0.48 | Low: N/A | MarketCap: 8497328 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.539 | Exchange: TSX | 
Martinrea International Inc. | MRE | Volume: 192833 | Value: 14.79 | Open: 15.06 | High: 15.06 | SharesOut.: 86864584 | Beta: 1.679 | Prev.Close: 15.07 | Low: 14.76 | MarketCap: 1284727197 | VWAP: 14.852083 | Dividend: 0.045CAD | Div.Frequency: Quarterly | P/ERatio: 7.600 | EPS: 1.99 | Yield: 1.217 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.219 | Exchange: TSX | 
Mason Resources Corp. | MNR | Volume: 52000 | Value: 0.185 | Open: 0.185 | High: 0.185 | SharesOut.: 78196910 | Beta: 0.215 | Prev.Close: 0.185 | Low: 0.185 | MarketCap: 14466428 | VWAP: 0.185 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 21.600 | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.240 | Exchange: TSX | 
Mawson Resources Limited | MAW | Volume: 22600 | Value: 0.29 | Open: 0.30 | High: 0.30 | SharesOut.: 141591593 | Beta: 1.276 | Prev.Close: 0.29 | Low: 0.28 | MarketCap: 41061562 | VWAP: 0.295556 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.160 | Exchange: TSX | 
Maxar Technologies Ltd. | MAXR | Volume: 412643 | Value: 65.04 | Open: 64.95 | High: 66.28 | SharesOut.: 56422480 | Beta: 0.764 | Prev.Close: 64.96 | Low: 64.58 | MarketCap: 3669718099 | VWAP: 65.527651 | Dividend: 0.370CAD | Div.Frequency: Quarterly | P/ERatio: 26.600 | EPS: 2.160000 | Yield: 2.276 | Ex-DivDate: 06/14/2018 | P/BRatio: 1.822 | Exchange: TSX | 
Maxim Power Corp. | MXG | Volume: 0 | Value: 2.54 | Open: N/A | High: N/A | SharesOut.: 54623825 | Beta: 0.534 | Prev.Close: 2.54 | Low: N/A | MarketCap: 138744516 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 7.500 | EPS: 0.350000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.955 | Exchange: TSX | 
MBN Corporation | MBN | Volume: 0 | Value: 6.11 | Open: N/A | High: N/A | SharesOut.: 3800851 | Beta: 0.231 | Prev.Close: 6.11 | Low: N/A | MarketCap: 23223200 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.240000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.795 | Exchange: TSX | 
MCAN Mortgage Corporation | MKP | Volume: 6069 | Value: 18.13 | Open: 18.09 | High: 18.15 | SharesOut.: 23559145 | Beta: 0.418 | Prev.Close: 18.16 | Low: 18.09 | MarketCap: 427127299 | VWAP: 18.115424 | Dividend: 0.370CAD | Div.Frequency: Quarterly | P/ERatio: 10.500 | EPS: 1.720000 | Yield: 8.163 | Ex-DivDate: 06/14/2018 | P/BRatio: 1.414 | Exchange: TSX | 
McCoy Global Inc. | MCB | Volume: 4420 | Value: 1.40 | Open: 1.40 | High: 1.40 | SharesOut.: 27580839 | Beta: 1.458 | Prev.Close: 1.39 | Low: 1.40 | MarketCap: 38613175 | VWAP: 1.400000 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.590000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.952 | Exchange: TSX | 
McEwen Mining Inc. | MUX | Volume: 52773 | Value: 2.79 | Open: 2.80 | High: 2.84 | SharesOut.: 337264381 | Beta: 1.035 | Prev.Close: 2.80 | Low: 2.79 | MarketCap: 940967623 | VWAP: 2.814782 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 45.400 | EPS: -0.05 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.374 | Exchange: TSX | 
Mediagrif Interactive Technologies Inc. | MDF | Volume: 15839 | Value: 11.52 | Open: 10.98 | High: 11.60 | SharesOut.: 14848779 | Beta: 0.473 | Prev.Close: 10.98 | Low: 10.98 | MarketCap: 171057934 | VWAP: 11.333813 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 23.400 | EPS: 0.480000 | Yield: 3.472 | Ex-DivDate: 06/29/2018 | P/BRatio: 1.290 | Exchange: TSX | 
Medical Facilities Corporation | DR | Volume: 211170 | Value: 14.58 | Open: 14.37 | High: 14.74 | SharesOut.: 30983257 | Beta: 0.666 | Prev.Close: 14.39 | Low: 14.37 | MarketCap: 451735887 | VWAP: 14.601799 | Dividend: 0.094CAD | Div.Frequency: Monthly | P/ERatio: 13.400 | EPS: 0.870000 | Yield: 7.716 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.442 | Exchange: TSX | 
