Mackenzie International Equity Index ETF | QDX | Volume: 2 | Value: 99.53 | Open: 0.00 | High: 0.00 | SharesOut.: 90000 | Beta: 1.054 | Prev.Close: 99.53 | Low: 0.00 | MarketCap: 8957700 | VWAP: N/A | Dividend: 1.155CAD | Div.Frequency: Quarterly | P/ERatio: 14.800 | EPS: N/A | Yield: 2.369 | Ex-DivDate: 06/18/2018 | P/BRatio: 1.590 | Exchange: TSX | 
Mackenzie International Equity Index ETF (CAD-Hedged) | QDXH | Volume: 0 | Value: 96.37 | Open: N/A | High: N/A | SharesOut.: 10000 | Beta: 1.800 | Prev.Close: 96.37 | Low: N/A | MarketCap: 963700 | VWAP: N/A | Dividend: 1.104CAD | Div.Frequency: Quarterly | P/ERatio: 14.800 | EPS: N/A | Yield: 2.338 | Ex-DivDate: 06/18/2018 | P/BRatio: 1.590 | Exchange: TSX | 
Mackenzie US High Yield Bond Index ETF (CAD-Hedged) | QHY | Volume: 200 | Value: 97.09 | Open: 97.09 | High: 97.09 | SharesOut.: 60000 | Beta: 0.253 | Prev.Close: 97.07 | Low: 97.09 | MarketCap: 5825400 | VWAP: 97.09 | Dividend: 0.459CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 5.672 | Ex-DivDate: 06/18/2018 | P/BRatio: N/A | Exchange: TSX | 
Mackenzie US Investment Grade Corporate Bond Index ETF (CAD-Hedged) | QUIG | Volume: 10 | Value: 96.51 | Open: 0.00 | High: 0.00 | SharesOut.: 1540000 | Beta: 0.116 | Prev.Close: 96.51 | Low: 0.00 | MarketCap: 148625400 | VWAP: N/A | Dividend: 0.039CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 0.489 | Ex-DivDate: 06/18/2018 | P/BRatio: N/A | Exchange: TSX | 
Mackenzie US Large Cap Equity Index ETF | QUU | Volume: 0 | Value: 105.13 | Open: N/A | High: N/A | SharesOut.: 1450000 | Beta: 0.455 | Prev.Close: 105.13 | Low: N/A | MarketCap: 152438500 | VWAP: N/A | Dividend: 0.394CAD | Div.Frequency: Quarterly | P/ERatio: 20.700 | EPS: N/A | Yield: 0.888 | Ex-DivDate: 06/18/2018 | P/BRatio: 3.220 | Exchange: TSX | 
Mackenzie US Large Cap Equity Index ETF (CAD-Hedged) | QAH | Volume: 100 | Value: 95.68 | Open: 95.68 | High: 95.68 | SharesOut.: 20000 | Beta: 1.459 | Prev.Close: 98.58 | Low: 95.68 | MarketCap: 1913600 | VWAP: 95.68 | Dividend: 0.365CAD | Div.Frequency: Quarterly | P/ERatio: 20.600 | EPS: N/A | Yield: 0.905 | Ex-DivDate: 06/18/2018 | P/BRatio: 3.220 | Exchange: TSX | 
PowerShares QQQ Index ETF | QQC.F | Volume: 19793 | Value: 60.15 | Open: 61.23 | High: 61.29 | SharesOut.: 1950000 | Beta: 0.235 | Prev.Close: 60.97 | Low: 60.15 | MarketCap: 117292500 | VWAP: 60.356455 | Dividend: 0.088CAD | Div.Frequency: Quarterly | P/ERatio: 25.600 | EPS: N/A | Yield: 0.625 | Ex-DivDate: 06/27/2018 | P/BRatio: 5.650 | Exchange: TSX | 
Quarterhill Inc. | QTRH | Volume: 225128 | Value: 1.45 | Open: 1.48 | High: 1.49 | SharesOut.: 118817466 | Beta: 0.440 | Prev.Close: 1.49 | Low: 1.44 | MarketCap: 172285326 | VWAP: 1.458503 | Dividend: 0.013CAD | Div.Frequency: Quarterly | P/ERatio: 24.800 | EPS: 0.120000 | Yield: 3.448 | Ex-DivDate: 06/14/2018 | P/BRatio: 0.522 | Exchange: TSX | 
Quebecor Inc. | QBR.A | Volume: 200 | Value: 26.68 | Open: 26.67 | High: 26.68 | SharesOut.: 77320144 | Beta: 0.170 | Prev.Close: 26.50 | Low: 26.67 | MarketCap: 2062901442 | VWAP: 26.675 | Dividend: 0.055CAD | Div.Frequency: Quarterly | P/ERatio: 15.000 | EPS: 1.75 | Yield: 0.825 | Ex-DivDate: 05/23/2018 | P/BRatio: 7.917 | Exchange: TSX | 
Questerre Energy Corporation | QEC | Volume: 25300 | Value: 0.55 | Open: 0.57 | High: 0.58 | SharesOut.: 385331034 | Beta: 3.040 | Prev.Close: 0.51 | Low: 0.55 | MarketCap: 211932069 | VWAP: 0.576400 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.250 | Exchange: TSX | 
Restaurant Brands International Inc. | QSR | Volume: 321295 | Value: 78.22 | Open: 79.36 | High: 79.50 | SharesOut.: 249210655 | Beta: 1.488 | Prev.Close: 79.41 | Low: 77.94 | MarketCap: 19493257434 | VWAP: 78.400212 | Dividend: 0.210USD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 1.375 | Ex-DivDate: 12/14/2017 | P/BRatio: -20.423 | Exchange: TSX | 
Restaurant Brands International Limited Partnership | QSP.UN | Volume: 267 | Value: 79.00 | Open: 79.01 | High: 79.01 | SharesOut.: 217646367 | Beta: 1.541 | Prev.Close: 81.83 | Low: 79.00 | MarketCap: 17194062993 | VWAP: 79.005 | Dividend: 0.450USD | Div.Frequency: Quarterly | P/ERatio: 18.200 | EPS: N/A | Yield: 2.927 | Ex-DivDate: 05/14/2018 | P/BRatio: 3.049 | Exchange: TSX | 
