A&W Revenue Royalties Income Fund | AW.UN | Volume: 9475 | Value: 32.03 | Open: 32.19 | High: 32.21 | SharesOut.: 12504673 | Beta: 0.833 | Prev.Close: 31.98 | Low: 31.90 | MarketCap: 400524676 | VWAP: 32.005795 | Dividend: 0.138CAD | Div.Frequency: Monthly | P/ERatio: 17.600 | EPS: 1.820000 | Yield: 5.170 | Ex-DivDate: 05/14/2018 | P/BRatio: 3.694 | Exchange: TSX | 
Ag Growth International Inc. | AFN | Volume: 51134 | Value: 55.70 | Open: 56.16 | High: 56.47 | SharesOut.: 16474271 | Beta: 1.292 | Prev.Close: 55.93 | Low: 55.31 | MarketCap: 917616895 | VWAP: 55.699492 | Dividend: 0.200CAD | Div.Frequency: Monthly | P/ERatio: 25.700 | EPS: 2.180000 | Yield: 4.309 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.930 | Exchange: TSX | 
Agellan Commercial Real Estate Investment Trust | ACR.UN | Volume: 16511 | Value: 13.48 | Open: 13.48 | High: 13.51 | SharesOut.: 32953362 | Beta: 0.629 | Prev.Close: 13.49 | Low: 13.41 | MarketCap: 444211320 | VWAP: 13.441061 | Dividend: 0.068CAD | Div.Frequency: Monthly | P/ERatio: 5.200 | EPS: N/A | Yield: 6.009 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.069 | Exchange: TSX | 
AGF Management Limited | AGF.B | Volume: 216677 | Value: 6.89 | Open: 6.82 | High: 6.98 | SharesOut.: 79943300 | Beta: 1.632 | Prev.Close: 6.86 | Low: 6.78 | MarketCap: 550809337 | VWAP: 6.901629 | Dividend: 0.080CAD | Div.Frequency: Quarterly | P/ERatio: 8.400 | EPS: 0.810000 | Yield: 4.644 | Ex-DivDate: 04/09/2018 | P/BRatio: 0.575 | Exchange: TSX | 
AGFiQ Enhanced Core Canadian Equity ETF | QCD | Volume: 1400 | Value: 26.64 | Open: 26.64 | High: 26.64 | SharesOut.: 1825000 | Beta: 0.746 | Prev.Close: 26.75 | Low: 26.64 | MarketCap: 48618000 | VWAP: 26.64 | Dividend: 0.302CAD | Div.Frequency: Annual | P/ERatio: 16.300 | EPS: N/A | Yield: 1.133 | Ex-DivDate: 12/28/2017 | P/BRatio: 2.010 | Exchange: TSX | 
AGFiQ Enhanced Core Emerging Markets Equity ETF | QEM | Volume: 100 | Value: 29.82 | Open: 29.82 | High: 29.82 | SharesOut.: 1400000 | Beta: -0.100 | Prev.Close: 29.98 | Low: 29.82 | MarketCap: 41748000 | VWAP: 29.82 | Dividend: 0.372CAD | Div.Frequency: Annual | P/ERatio: 13.400 | EPS: N/A | Yield: 1.246 | Ex-DivDate: 12/28/2017 | P/BRatio: 2.100 | Exchange: TSX | 
AGFiQ Enhanced Core International Equity ETF | QIE | Volume: 0 | Value: 29.59 | Open: N/A | High: N/A | SharesOut.: 2625000 | Beta: 0.188 | Prev.Close: 29.59 | Low: N/A | MarketCap: 77673750 | VWAP: N/A | Dividend: 0.217CAD | Div.Frequency: Annual | P/ERatio: 16.500 | EPS: N/A | Yield: 0.732 | Ex-DivDate: 12/28/2017 | P/BRatio: 1.960 | Exchange: TSX | 
AGFiQ Enhanced Core US Equity ETF | QUS | Volume: 38101 | Value: 29.31 | Open: 29.31 | High: 29.31 | SharesOut.: 6200000 | Beta: 0.500 | Prev.Close: 29.46 | Low: 29.31 | MarketCap: 181722000 | VWAP: 29.31 | Dividend: 0.121CAD | Div.Frequency: Annual | P/ERatio: 21.400 | EPS: N/A | Yield: 0.411 | Ex-DivDate: 12/28/2017 | P/BRatio: 3.680 | Exchange: TSX | 
AGFiQ Global Equity Rotation ETF | QGL | Volume: 0 | Value: 29.36 | Open: N/A | High: N/A | SharesOut.: 125000 | Beta: 0.318 | Prev.Close: 29.36 | Low: N/A | MarketCap: 3670000 | VWAP: N/A | Dividend: 0.337CAD | Div.Frequency: Annual | P/ERatio: 16.300 | EPS: N/A | Yield: 1.149 | Ex-DivDate: 12/28/2017 | P/BRatio: 2.230 | Exchange: TSX | 
AGFiQ MultiAsset Allocation ETF | QMA | Volume: 0 | Value: 27.82 | Open: N/A | High: N/A | SharesOut.: 100000 | Beta: 0.312 | Prev.Close: 27.82 | Low: N/A | MarketCap: 2782000 | VWAP: N/A | Dividend: 0.409CAD | Div.Frequency: Annual | P/ERatio: 16.200 | EPS: N/A | Yield: 1.471 | Ex-DivDate: 12/28/2017 | P/BRatio: 2.220 | Exchange: TSX | 
AGFiQ MultiAsset Income Allocation ETF | QMY | Volume: 0 | Value: 25.74 | Open: N/A | High: N/A | SharesOut.: 125000 | Beta: 0.292 | Prev.Close: 25.74 | Low: N/A | MarketCap: 3217500 | VWAP: N/A | Dividend: 0.170CAD | Div.Frequency: Quarterly | P/ERatio: 10.500 | EPS: N/A | Yield: 3.325 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.510 | Exchange: TSX | 
AgJunction Inc. | AJX | Volume: 1100 | Value: 0.86 | Open: 0.86 | High: 0.86 | SharesOut.: 117178275 | Beta: -0.581 | Prev.Close: 0.88 | Low: 0.86 | MarketCap: 100773317 | VWAP: 0.86 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.389 | Exchange: TSX | 
Agnico Eagle Mines Limited | AEM | Volume: 269619 | Value: 59.07 | Open: 59.15 | High: 59.60 | SharesOut.: 233484204 | Beta: 1.337 | Prev.Close: 59.29 | Low: 58.64 | MarketCap: 13791911930 | VWAP: 59.103005 | Dividend: 0.110USD | Div.Frequency: Quarterly | P/ERatio: 50.100 | EPS: 1.180000 | Yield: 0.954 | Ex-DivDate: 11/30/2017 | P/BRatio: 2.090 | Exchange: TSX | 
AGT Food and Ingredients Inc. | AGT | Volume: 63300 | Value: 15.36 | Open: 15.26 | High: 15.66 | SharesOut.: 24236536 | Beta: 0.834 | Prev.Close: 15.26 | Low: 15.26 | MarketCap: 372273193 | VWAP: 15.494027 | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -1.530000 | Yield: 3.906 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.036 | Exchange: TSX | 
Aimia Inc. | AIM | Volume: 261752 | Value: 2.18 | Open: 2.26 | High: 2.27 | SharesOut.: 152307196 | Beta: 2.258 | Prev.Close: 2.26 | Low: 2.15 | MarketCap: 332029687 | VWAP: 2.186526 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.820000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -1.615 | Exchange: TSX | 
Air Canada | AC | Volume: 1834680 | Value: 21.18 | Open: 22.11 | High: 22.11 | SharesOut.: 272416483 | Beta: 1.187 | Prev.Close: 22.05 | Low: 21.11 | MarketCap: 5769781110 | VWAP: 21.452267 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 3.200 | EPS: 6.910000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.745 | Exchange: TSX | 
AirBoss of America Corp. | BOS | Volume: 6249 | Value: 15.32 | Open: 15.26 | High: 15.42 | SharesOut.: 23418182 | Beta: -0.079 | Prev.Close: 15.26 | Low: 15.25 | MarketCap: 358766548 | VWAP: 15.345574 | Dividend: 0.070CAD | Div.Frequency: Quarterly | P/ERatio: 20.900 | EPS: 0.710000 | Yield: 1.828 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.246 | Exchange: TSX | 
Akita Drilling Ltd. | AKT.A | Volume: 34235 | Value: 5.72 | Open: 5.78 | High: 5.92 | SharesOut.: 16291877 | Beta: 1.049 | Prev.Close: 5.71 | Low: 5.65 | MarketCap: 93189536 | VWAP: 5.803363 | Dividend: 0.085CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -2.010000 | Yield: 5.944 | Ex-DivDate: 06/15/2018 | P/BRatio: 0.601 | Exchange: TSX | 
Akumin Inc. | AKU.U | Volume: 55507 | Value: 4.16 | Open: 4.24 | High: 4.25 | SharesOut.: 61332579 | Beta: -0.022 | Prev.Close: 4.21 | Low: 4.15 | MarketCap: 255143529 | VWAP: 4.233423 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.270000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.250 | Exchange: TSX | 
Alacer Gold Corp. | ASR | Volume: 387979 | Value: 2.62 | Open: 2.56 | High: 2.62 | SharesOut.: 293774572 | Beta: 1.135 | Prev.Close: 2.57 | Low: 2.54 | MarketCap: 769689379 | VWAP: 2.588599 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 5.900 | EPS: 0.440000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.766 | Exchange: TSX | 
Alamos Gold Inc. | AGI | Volume: 476224 | Value: 7.44 | Open: 7.36 | High: 7.47 | SharesOut.: 389152372 | Beta: 1.640 | Prev.Close: 7.49 | Low: 7.36 | MarketCap: 2895293648 | VWAP: 7.429312 | Dividend: 0.010USD | Div.Frequency: Semi-Annual | P/ERatio: 64.700 | EPS: 0.120000 | Yield: 0.334 | Ex-DivDate: 10/13/2017 | P/BRatio: 0.813 | Exchange: TSX | 
Alaris Royalty Corp. | AD | Volume: 88891 | Value: 16.17 | Open: 16.26 | High: 16.36 | SharesOut.: 36481247 | Beta: 0.902 | Prev.Close: 16.24 | Low: 16.11 | MarketCap: 589901764 | VWAP: 16.217215 | Dividend: 0.135CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.090000 | Yield: 10.019 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.992 | Exchange: TSX | 
