A&W Revenue Royalties Income Fund | AW.UN | Volume: 9475 | Value: 32.03 | Open: 32.19 | High: 32.21 | SharesOut.: 12504673 | Beta: 0.833 | Prev.Close: 31.98 | Low: 31.90 | MarketCap: 400524676 | VWAP: 32.005795 | Dividend: 0.138CAD | Div.Frequency: Monthly | P/ERatio: 17.600 | EPS: 1.820000 | Yield: 5.170 | Ex-DivDate: 05/14/2018 | P/BRatio: 3.694 | Exchange: TSX | 
ARC Resources Ltd. | ARX | Volume: 932361 | Value: 13.63 | Open: 13.80 | High: 13.90 | SharesOut.: 353755718 | Beta: 1.445 | Prev.Close: 13.69 | Low: 13.60 | MarketCap: 4821690436 | VWAP: 13.751948 | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: 10.500 | EPS: 0.860000 | Yield: 4.402 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.319 | Exchange: TSX | 
Argex Titanium Inc. | RGX | Volume: 249000 | Value: 0.04 | Open: 0.04 | High: 0.04 | SharesOut.: 349980974 | Beta: 3.718 | Prev.Close: 0.04 | Low: 0.035 | MarketCap: 13999239 | VWAP: 0.037470 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 19.260 | Exchange: TSX | 
Argonaut Gold Inc. | AR | Volume: 341434 | Value: 2.16 | Open: 2.18 | High: 2.22 | SharesOut.: 177781655 | Beta: 1.792 | Prev.Close: 2.18 | Low: 2.15 | MarketCap: 384008375 | VWAP: 2.174943 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 11.800 | EPS: 0.180000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.451 | Exchange: TSX | 
Aritzia Inc. | ATZ | Volume: 93979 | Value: 15.64 | Open: 15.74 | High: 15.75 | SharesOut.: 56402240 | Beta: 0.977 | Prev.Close: 15.75 | Low: 15.56 | MarketCap: 882131034 | VWAP: 15.663787 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 30.900 | EPS: 0.490000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 6.133 | Exchange: TSX | 
Arizona Mining Inc. | AZ | Volume: 4174359 | Value: 6.14 | Open: 6.13 | High: 6.145 | SharesOut.: 313134125 | Beta: 3.331 | Prev.Close: 6.13 | Low: 6.13 | MarketCap: 1922643528 | VWAP: 6.139865 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 6.747 | Exchange: TSX | 
Artis Real Estate Investment Trust | AX.PR.A | Volume: 10900 | Value: 23.10 | Open: 23.03 | High: 23.15 | SharesOut.: 3450000 | Beta: 0.641 | Prev.Close: 23.20 | Low: 22.90 | MarketCap: 79695000 | VWAP: 22.99 | Dividend: 0.354CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 6.128 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Asanko Gold Inc. | AKG | Volume: 156275 | Value: 1.47 | Open: 1.43 | High: 1.48 | SharesOut.: 225804614 | Beta: 1.957 | Prev.Close: 1.43 | Low: 1.42 | MarketCap: 331932783 | VWAP: 1.454757 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 163.900 | EPS: 0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.574 | Exchange: TSX | 
Ascendant Resources Inc. | ASND | Volume: 133500 | Value: 1.00 | Open: 1.05 | High: 1.05 | SharesOut.: 74214593 | Beta: 1.015 | Prev.Close: 0.96 | Low: 0.98 | MarketCap: 74214593 | VWAP: 1.037790 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.564 | Exchange: TSX | 
Atalaya Mining plc | AYM | Volume: 3000 | Value: 4.25 | Open: 4.25 | High: 4.25 | SharesOut.: 137076557 | Beta: 0.203 | Prev.Close: 4.22 | Low: 4.25 | MarketCap: 582575367 | VWAP: 4.25 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
ATCO Ltd. | ACO.X | Volume: 185687 | Value: 40.58 | Open: 40.34 | High: 40.78 | SharesOut.: 101473973 | Beta: 0.767 | Prev.Close: 40.29 | Low: 40.01 | MarketCap: 4117813824 | VWAP: 40.436988 | Dividend: 0.377CAD | Div.Frequency: Quarterly | P/ERatio: 24.000 | EPS: 1.780000 | Yield: 3.712 | Ex-DivDate: 06/07/2018 | P/BRatio: 1.298 | Exchange: TSX | 
Athabasca Oil Corporation | ATH | Volume: 3064706 | Value: 1.80 | Open: 1.81 | High: 1.85 | SharesOut.: 515046153 | Beta: 2.754 | Prev.Close: 1.75 | Low: 1.795 | MarketCap: 927083075 | VWAP: 1.817636 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.540000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.641 | Exchange: TSX | 
Atlantic Power Corporation | ATP | Volume: 62481 | Value: 2.99 | Open: 3.04 | High: 3.04 | SharesOut.: 112480389 | Beta: 2.575 | Prev.Close: 3.02 | Low: 2.98 | MarketCap: 336316363 | VWAP: 3.003371 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.12 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -19.933 | Exchange: TSX | 
Atlantic Power Preferred Equity Ltd. | AZP.PR.A | Volume: 2300 | Value: 15.15 | Open: 15.16 | High: 15.16 | SharesOut.: 4512500 | Beta: 1.071 | Prev.Close: 15.17 | Low: 15.15 | MarketCap: 68364375 | VWAP: 15.151304 | Dividend: 0.303CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 8.003 | Ex-DivDate: 06/14/2018 | P/BRatio: N/A | Exchange: TSX | 
Atlatsa Resources Corporation | ATL | Volume: 0 | Value: 0.04 | Open: N/A | High: N/A | SharesOut.: 554421806 | Beta: 2.162 | Prev.Close: 0.04 | Low: N/A | MarketCap: 22176872 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.360000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -0.667 | Exchange: TSX | 
Atrium Mortgage Investment Corporation | AI | Volume: 33413 | Value: 12.82 | Open: 12.88 | High: 12.90 | SharesOut.: 36142993 | Beta: 0.382 | Prev.Close: 12.85 | Low: 12.77 | MarketCap: 463353170 | VWAP: 12.862333 | Dividend: 0.075CAD | Div.Frequency: Monthly | P/ERatio: 13.500 | EPS: 0.940000 | Yield: 7.020 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.226 | Exchange: TSX | 
ATS Automation Tooling Systems Inc. | ATA | Volume: 293385 | Value: 19.51 | Open: 19.21 | High: 19.66 | SharesOut.: 94001692 | Beta: 1.068 | Prev.Close: 19.21 | Low: 19.21 | MarketCap: 1833973011 | VWAP: 19.527872 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 38.400 | EPS: 0.50 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.418 | Exchange: TSX | 
Aura Minerals Inc. | ORA | Volume: 650 | Value: 2.16 | Open: 2.16 | High: 2.16 | SharesOut.: 43372336 | Beta: 2.727 | Prev.Close: 2.15 | Low: 2.16 | MarketCap: 93684246 | VWAP: 2.16 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 2.200 | EPS: 0.920000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.531 | Exchange: TSX | 
Aurinia Pharmaceuticals Inc. | AUP | Volume: 27041 | Value: 7.34 | Open: 7.58 | High: 7.58 | SharesOut.: 84200063 | Beta: 3.767 | Prev.Close: 7.58 | Low: 7.29 | MarketCap: 618028462 | VWAP: 7.383327 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.200000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.046 | Exchange: TSX | 
Aurora Cannabis Inc. | ACB | Volume: 10723595 | Value: 8.96 | Open: 9.28 | High: 9.30 | SharesOut.: 564933482 | Beta: 6.806 | Prev.Close: 9.43 | Low: 8.75 | MarketCap: 5061803999 | VWAP: 9.029905 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.672 | Exchange: TSX | 
Auryn Resources Inc. | AUG | Volume: 40600 | Value: 1.40 | Open: 1.44 | High: 1.44 | SharesOut.: 85868441 | Beta: 1.233 | Prev.Close: 1.43 | Low: 1.37 | MarketCap: 120215817 | VWAP: 1.425148 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 0.00 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.207 | Exchange: TSX | 
Australian REIT Income Fund | HRR.UN | Volume: 0 | Value: 10.62 | Open: N/A | High: N/A | SharesOut.: 1594724 | Beta: 0.905 | Prev.Close: 10.62 | Low: N/A | MarketCap: 16935969 | VWAP: N/A | Dividend: 0.055CAD | Div.Frequency: Monthly | P/ERatio: 16.600 | EPS: 0.550000 | Yield: 6.215 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.935 | Exchange: TSX | 
AutoCanada Inc. | ACQ | Volume: 167018 | Value: 16.58 | Open: 16.50 | High: 16.59 | SharesOut.: 27459683 | Beta: 2.756 | Prev.Close: 16.45 | Low: 16.45 | MarketCap: 455281544 | VWAP: 16.476208 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 7.700 | EPS: 2.110000 | Yield: 2.413 | Ex-DivDate: 05/30/2018 | P/BRatio: 0.882 | Exchange: TSX | 
Automotive Properties Real Estate Investment Trust | APR.UN | Volume: 23298 | Value: 10.47 | Open: 10.47 | High: 10.52 | SharesOut.: 16696552 | Beta: 0.744 | Prev.Close: 10.49 | Low: 10.44 | MarketCap: 174812899 | VWAP: 10.456739 | Dividend: 0.067CAD | Div.Frequency: Monthly | P/ERatio: 7.000 | EPS: N/A | Yield: 7.679 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.509 | Exchange: TSX | 
Avalon Advanced Materials Inc. | AVL | Volume: 230204 | Value: 0.095 | Open: 0.105 | High: 0.105 | SharesOut.: 219237239 | Beta: 4.170 | Prev.Close: 0.095 | Low: 0.095 | MarketCap: 20827538 | VWAP: 0.103289 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.176 | Exchange: TSX | 
Avcorp Industries Inc. | AVP | Volume: 0 | Value: 0.05 | Open: N/A | High: N/A | SharesOut.: 337404502 | Beta: 0.945 | Prev.Close: 0.05 | Low: N/A | MarketCap: 16870225 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.060000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -0.556 | Exchange: TSX | 
Avesoro Resources Inc. | ASO | Volume: 700 | Value: 4.49 | Open: 4.55 | High: 4.55 | SharesOut.: 81575260 | Beta: 1.547 | Prev.Close: 4.60 | Low: 4.49 | MarketCap: 366272917 | VWAP: 4.517143 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.660000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.013 | Exchange: TSX | 
Avino Silver & Gold Mines Ltd. | ASM | Volume: 3600 | Value: 1.62 | Open: 1.59 | High: 1.64 | SharesOut.: 55805653 | Beta: 2.378 | Prev.Close: 1.61 | Low: 1.59 | MarketCap: 90405158 | VWAP: 1.616111 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 20.800 | EPS: 0.07 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.988 | Exchange: TSX | 
Azarga Uranium Corp. | AZZ | Volume: 55700 | Value: 0.255 | Open: 0.26 | High: 0.275 | SharesOut.: 85134476 | Beta: 0.306 | Prev.Close: 0.255 | Low: 0.255 | MarketCap: 21709291 | VWAP: 0.259279 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.130000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.637 | Exchange: TSX | 
Barrick Gold Corporation | ABX | Volume: 1773387 | Value: 17.00 | Open: 16.93 | High: 17.04 | SharesOut.: 1166902835 | Beta: 1.721 | Prev.Close: 16.95 | Low: 16.85 | MarketCap: 19837348195 | VWAP: 16.965637 | Dividend: 0.030USD | Div.Frequency: Quarterly | P/ERatio: 16.000 | EPS: 1.010000 | Yield: 0.894 | Ex-DivDate: 11/29/2017 | P/BRatio: 1.574 | Exchange: TSX | 
First Asset Canadian Convertibles Fund | ADC.UN | Volume: 1000 | Value: 6.55 | Open: 6.55 | High: 6.55 | SharesOut.: 1638844 | Beta: 0.471 | Prev.Close: 6.55 | Low: 6.55 | MarketCap: 10734428 | VWAP: 6.55 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 27.400 | EPS: 0.240000 | Yield: 6.107 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Golden Minerals Company | AUMN | Volume: 0 | Value: 0.455 | Open: N/A | High: N/A | SharesOut.: 95083517 | Beta: 4.277 | Prev.Close: 0.455 | Low: N/A | MarketCap: 43263000 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 4.050 | Exchange: TSX | 
