TD Canadian Aggregate Bond Index ETF | TDB | Volume: 5520 | Value: 14.55 | Open: 14.55 | High: 14.55 | SharesOut.: 850000 | Beta: 0.025 | Prev.Close: 14.54 | Low: 14.55 | MarketCap: 12367500 | VWAP: 14.55 | Dividend: 0.035CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.887 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
TD International Equity CAD Hedged Index ETF | THE | Volume: 1120 | Value: 18.10 | Open: 18.25 | High: 18.25 | SharesOut.: 400000 | Beta: 0.580 | Prev.Close: 18.22 | Low: 18.10 | MarketCap: 7240000 | VWAP: 18.205 | Dividend: 0.105CAD | Div.Frequency: Quarterly | P/ERatio: 17.400 | EPS: N/A | Yield: 2.320 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.720 | Exchange: TSX | 
TD International Equity Index ETF | TPE | Volume: 15 | Value: 18.27 | Open: 0.00 | High: 0.00 | SharesOut.: 1000000 | Beta: 0.455 | Prev.Close: 18.27 | Low: 0.00 | MarketCap: 18270000 | VWAP: N/A | Dividend: 0.105CAD | Div.Frequency: Quarterly | P/ERatio: 17.400 | EPS: N/A | Yield: 2.299 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.720 | Exchange: TSX | 
TD S&P 500 CAD Hedged Index ETF | THU | Volume: 1670 | Value: 19.47 | Open: 19.73 | High: 19.73 | SharesOut.: 400000 | Beta: 0.525 | Prev.Close: 19.51 | Low: 19.43 | MarketCap: 7788000 | VWAP: 19.649333 | Dividend: 0.075CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 1.541 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
TD S&P 500 Index ETF | TPU | Volume: 2431 | Value: 20.25 | Open: 20.44 | High: 20.44 | SharesOut.: 1100000 | Beta: 0.458 | Prev.Close: 20.38 | Low: 20.19 | MarketCap: 22275000 | VWAP: 20.35375 | Dividend: 0.075CAD | Div.Frequency: Quarterly | P/ERatio: 22.900 | EPS: N/A | Yield: 1.481 | Ex-DivDate: 06/27/2018 | P/BRatio: 3.180 | Exchange: TSX | 
TD S&P/TSX Capped Composite Index ETF | TTP | Volume: 0 | Value: 18.26 | Open: N/A | High: N/A | SharesOut.: 600000 | Beta: 0.984 | Prev.Close: 18.26 | Low: N/A | MarketCap: 10956000 | VWAP: N/A | Dividend: 0.105CAD | Div.Frequency: Quarterly | P/ERatio: 17.100 | EPS: N/A | Yield: 2.313 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.910 | Exchange: TSX | 
TDb Split Corp. | XTD | Volume: 4765 | Value: 6.71 | Open: 6.80 | High: 6.84 | SharesOut.: 3386660 | Beta: 1.395 | Prev.Close: 6.70 | Low: 6.71 | MarketCap: 22724489 | VWAP: 6.804894 | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: 3.600 | EPS: 1.880000 | Yield: 8.942 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.024 | Exchange: TSX | 
Tech Leaders Income ETF | TLF | Volume: 10000 | Value: 12.34 | Open: 12.35 | High: 12.35 | SharesOut.: 3202854 | Beta: 0.728 | Prev.Close: 12.41 | Low: 12.34 | MarketCap: 39523218 | VWAP: 12.345 | Dividend: 0.054CAD | Div.Frequency: Monthly | P/ERatio: 4.300 | EPS: 0.100000 | Yield: 5.251 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.130 | Exchange: TSX | 
Teck Resources Limited | TECK.A | Volume: 900 | Value: 33.22 | Open: 33.59 | High: 33.59 | SharesOut.: 7768304 | Beta: 2.710 | Prev.Close: 33.03 | Low: 33.03 | MarketCap: 258063059 | VWAP: 33.18 | Dividend: 0.050CAD | Div.Frequency: Quarterly | P/ERatio: 7.100 | EPS: 4.230000 | Yield: 0.602 | Ex-DivDate: 06/14/2018 | P/BRatio: 0.922 | Exchange: TSX | 
TECSYS Inc. | TCS | Volume: 0 | Value: 15.39 | Open: N/A | High: N/A | SharesOut.: 13082376 | Beta: 0.858 | Prev.Close: 15.39 | Low: N/A | MarketCap: 201337767 | VWAP: N/A | Dividend: 0.050CAD | Div.Frequency: Quarterly | P/ERatio: 27.500 | EPS: 0.560000 | Yield: 1.300 | Ex-DivDate: 03/21/2018 | P/BRatio: 4.513 | Exchange: TSX | 
Tellza Inc. | TEL | Volume: 0 | Value: 0.81 | Open: N/A | High: N/A | SharesOut.: 10144471 | Beta: 0.033 | Prev.Close: 0.81 | Low: N/A | MarketCap: 8217022 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 6.300 | EPS: 0.07 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.367 | Exchange: TSX | 
TELUS Corporation | T | Volume: 1411594 | Value: 46.96 | Open: 46.93 | High: 47.15 | SharesOut.: 595603054 | Beta: 0.524 | Prev.Close: 46.87 | Low: 46.84 | MarketCap: 27969519416 | VWAP: 47.000301 | Dividend: 0.525CAD | Div.Frequency: Quarterly | P/ERatio: 19.400 | EPS: 2.460000 | Yield: 4.472 | Ex-DivDate: 06/07/2018 | P/BRatio: 2.939 | Exchange: TSX | 
