RBC 1-5 Year Laddered Canadian Bond ETF | RLB | Volume: 750 | Value: 19.08 | Open: 19.07 | High: 19.08 | SharesOut.: 11300000 | Beta: -0.016 | Prev.Close: 19.08 | Low: 19.07 | MarketCap: 215604000 | VWAP: 19.075714 | Dividend: 0.043CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.856 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
RBC 1-5 Year Laddered Corporate Bond ETF | RBO | Volume: 1158 | Value: 18.93 | Open: 18.94 | High: 18.94 | SharesOut.: 13050000 | Beta: 0.040 | Prev.Close: 18.93 | Low: 18.93 | MarketCap: 247036500 | VWAP: 18.936364 | Dividend: 0.045CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.884 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
RBC 6-10 Year Laddered Canadian Corporate Bond ETF | RMBO | Volume: 0 | Value: 19.70 | Open: N/A | High: N/A | SharesOut.: 650000 | Beta: 0.219 | Prev.Close: 19.70 | Low: N/A | MarketCap: 12805000 | VWAP: N/A | Dividend: 0.042CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.113 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
RBC BlueBay Global Diversified Income (CAD Hedged) ETF | RBDI | Volume: 0 | Value: 18.89 | Open: N/A | High: N/A | SharesOut.: 1300000 | Beta: 0.068 | Prev.Close: 18.89 | Low: N/A | MarketCap: 24557000 | VWAP: N/A | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 8.495 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
RBC Canadian Bank Yield Index ETF | RBNK | Volume: 4100 | Value: 20.09 | Open: 20.08 | High: 20.09 | SharesOut.: 1750000 | Beta: 0.497 | Prev.Close: 20.21 | Low: 20.08 | MarketCap: 35157500 | VWAP: 20.089756 | Dividend: 0.063CAD | Div.Frequency: Monthly | P/ERatio: 11.600 | EPS: N/A | Yield: 3.771 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.770 | Exchange: TSX | 
RBC Canadian Preferred Share ETF | RPF | Volume: 30370 | Value: 23.92 | Open: 23.93 | High: 23.93 | SharesOut.: 38727556 | Beta: 0.363 | Prev.Close: 23.93 | Low: 23.90 | MarketCap: 926363140 | VWAP: 23.913861 | Dividend: 0.081CAD | Div.Frequency: Monthly | P/ERatio: 27.100 | EPS: N/A | Yield: 4.013 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.100 | Exchange: TSX | 
RBC PH&N Short Term Canadian Bond ETF | RPSB | Volume: 0 | Value: 19.90 | Open: N/A | High: N/A | SharesOut.: 1950000 | Beta: 0.027 | Prev.Close: 19.90 | Low: N/A | MarketCap: 38805000 | VWAP: N/A | Dividend: 0.028CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.050 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
RBC Quant Canadian Dividend Leaders ETF | RCD | Volume: 4600 | Value: 20.49 | Open: 20.53 | High: 20.53 | SharesOut.: 6350000 | Beta: 0.939 | Prev.Close: 20.55 | Low: 20.49 | MarketCap: 130111500 | VWAP: 20.509130 | Dividend: 0.061CAD | Div.Frequency: Monthly | P/ERatio: 15.700 | EPS: N/A | Yield: 3.694 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.870 | Exchange: TSX | 
RBC Quant Canadian Equity Leaders ETF | RCE | Volume: 91 | Value: 21.82 | Open: 0.00 | High: 0.00 | SharesOut.: 700000 | Beta: 0.940 | Prev.Close: 21.82 | Low: 0.00 | MarketCap: 15274000 | VWAP: N/A | Dividend: 0.138CAD | Div.Frequency: Quarterly | P/ERatio: 15.500 | EPS: N/A | Yield: 2.301 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.720 | Exchange: TSX | 
RBC Quant EAFE Dividend Leaders (CAD Hedged) ETF | RIDH | Volume: 3730 | Value: 23.06 | Open: 23.18 | High: 23.18 | SharesOut.: 4400000 | Beta: 0.828 | Prev.Close: 22.94 | Low: 23.06 | MarketCap: 101464000 | VWAP: 23.108056 | Dividend: 0.057CAD | Div.Frequency: Monthly | P/ERatio: 13.900 | EPS: N/A | Yield: 2.992 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.560 | Exchange: TSX | 
RBC Quant EAFE Dividend Leaders ETF | RID | Volume: 10657 | Value: 24.26 | Open: 24.21 | High: 24.30 | SharesOut.: 16850000 | Beta: 0.491 | Prev.Close: 24.36 | Low: 24.10 | MarketCap: 408781000 | VWAP: 24.188462 | Dividend: 0.063CAD | Div.Frequency: Monthly | P/ERatio: 12.500 | EPS: N/A | Yield: 3.079 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.570 | Exchange: TSX | 
RBC Quant EAFE Equity Leaders (CAD Hedged) ETF | RIEH | Volume: 0 | Value: 21.15 | Open: N/A | High: N/A | SharesOut.: 450000 | Beta: 0.946 | Prev.Close: 21.15 | Low: N/A | MarketCap: 9517500 | VWAP: N/A | Dividend: 0.110CAD | Div.Frequency: Quarterly | P/ERatio: 14.200 | EPS: N/A | Yield: 2.080 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.540 | Exchange: TSX | 
RBC Quant EAFE Equity Leaders ETF | RIE | Volume: 3190 | Value: 23.05 | Open: 23.06 | High: 23.06 | SharesOut.: 1000000 | Beta: 0.649 | Prev.Close: 23.21 | Low: 23.05 | MarketCap: 23050000 | VWAP: 23.051613 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 14.200 | EPS: N/A | Yield: 1.779 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.540 | Exchange: TSX | 
RBC Quant Emerging Markets Dividend Leaders ETF | RXD | Volume: 3405 | Value: 20.21 | Open: 20.21 | High: 20.21 | SharesOut.: 2200000 | Beta: 0.599 | Prev.Close: 20.58 | Low: 20.21 | MarketCap: 44462000 | VWAP: 20.21 | Dividend: 0.045CAD | Div.Frequency: Monthly | P/ERatio: 11.600 | EPS: N/A | Yield: 2.697 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.750 | Exchange: TSX | 
RBC Quant Emerging Markets Equity Leaders ETF | RXE | Volume: 500 | Value: 24.99 | Open: 25.06 | High: 25.06 | SharesOut.: 1100000 | Beta: 0.235 | Prev.Close: 25.62 | Low: 24.98 | MarketCap: 27489000 | VWAP: 25.008 | Dividend: 0.076CAD | Div.Frequency: Quarterly | P/ERatio: 12.800 | EPS: N/A | Yield: 1.845 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.530 | Exchange: TSX | 
RBC Quant European Dividend Leaders (CAD Hedged) ETF | RPDH | Volume: 6200 | Value: 22.72 | Open: 22.88 | High: 22.88 | SharesOut.: 3500000 | Beta: 0.943 | Prev.Close: 22.74 | Low: 22.72 | MarketCap: 79520000 | VWAP: 22.783065 | Dividend: 0.052CAD | Div.Frequency: Monthly | P/ERatio: 14.600 | EPS: N/A | Yield: 2.861 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.530 | Exchange: TSX | 
RBC Quant European Dividend Leaders ETF | RPD | Volume: 5600 | Value: 23.46 | Open: 23.65 | High: 23.65 | SharesOut.: 6500000 | Beta: N/A | Prev.Close: 23.60 | Low: 23.46 | MarketCap: 152490000 | VWAP: 23.538393 | Dividend: 0.059CAD | Div.Frequency: Monthly | P/ERatio: 13.200 | EPS: -0.130000 | Yield: 3.061 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.660 | Exchange: TSX | 
RBC Quant Global Infrastructure Leaders ETF | RIG | Volume: 281 | Value: 19.41 | Open: 19.41 | High: 19.41 | SharesOut.: 950000 | Beta: -0.001 | Prev.Close: 19.35 | Low: 19.41 | MarketCap: 18439500 | VWAP: 19.41 | Dividend: 0.059CAD | Div.Frequency: Monthly | P/ERatio: 11.500 | EPS: N/A | Yield: 3.560 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.560 | Exchange: TSX | 
RBC Quant Global Real Estate Leaders ETF | RGRE | Volume: 0 | Value: 20.08 | Open: N/A | High: N/A | SharesOut.: 400000 | Beta: 0.851 | Prev.Close: 20.08 | Low: N/A | MarketCap: 8032000 | VWAP: N/A | Dividend: 0.057CAD | Div.Frequency: Monthly | P/ERatio: 11.700 | EPS: N/A | Yield: 3.136 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.090 | Exchange: TSX | 
RBC Quant U.S. Dividend Leaders (CAD Hedged) ETF | RUDH | Volume: 6600 | Value: 25.85 | Open: 25.85 | High: 25.85 | SharesOut.: 4600000 | Beta: 0.778 | Prev.Close: 26.00 | Low: 25.85 | MarketCap: 118910000 | VWAP: 25.85 | Dividend: 0.047CAD | Div.Frequency: Monthly | P/ERatio: 17.700 | EPS: N/A | Yield: 2.112 | Ex-DivDate: 06/22/2018 | P/BRatio: 3.130 | Exchange: TSX | 
RBC Quant U.S. Dividend Leaders ETF | RUD | Volume: 4340 | Value: 33.43 | Open: 33.74 | High: 33.74 | SharesOut.: 12350000 | Beta: 0.310 | Prev.Close: 33.68 | Low: 33.43 | MarketCap: 412860500 | VWAP: 33.524878 | Dividend: 0.062CAD | Div.Frequency: Monthly | P/ERatio: 17.800 | EPS: N/A | Yield: 2.049 | Ex-DivDate: 06/22/2018 | P/BRatio: 3.110 | Exchange: TSX | 
RBC Quant U.S. Equity Leaders (CAD Hedged) ETF | RUEH | Volume: 0 | Value: 24.53 | Open: N/A | High: N/A | SharesOut.: 500000 | Beta: 0.893 | Prev.Close: 24.53 | Low: N/A | MarketCap: 12265000 | VWAP: N/A | Dividend: 0.093CAD | Div.Frequency: Quarterly | P/ERatio: 19.300 | EPS: N/A | Yield: 1.296 | Ex-DivDate: 06/22/2018 | P/BRatio: 3.150 | Exchange: TSX | 
RBC Quant U.S. Equity Leaders ETF | RUE | Volume: 195 | Value: 27.95 | Open: 27.95 | High: 27.95 | SharesOut.: 1050000 | Beta: 0.563 | Prev.Close: 28.06 | Low: 27.95 | MarketCap: 29347500 | VWAP: 27.95 | Dividend: 0.080CAD | Div.Frequency: Quarterly | P/ERatio: 19.300 | EPS: N/A | Yield: 1.159 | Ex-DivDate: 06/22/2018 | P/BRatio: 3.230 | Exchange: TSX | 
RBC Short Term U.S. Corporate Bond ETF | RUSB | Volume: 400 | Value: 20.94 | Open: 20.85 | High: 20.94 | SharesOut.: 2100000 | Beta: 0.051 | Prev.Close: 20.83 | Low: 20.85 | MarketCap: 43974000 | VWAP: 20.8725 | Dividend: 0.021CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 1.898 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
RBC Strategic Global Dividend Leaders ETF | RLD | Volume: 0 | Value: 24.38 | Open: N/A | High: N/A | SharesOut.: 400000 | Beta: 0.542 | Prev.Close: 24.38 | Low: N/A | MarketCap: 9752000 | VWAP: N/A | Dividend: 0.055CAD | Div.Frequency: Monthly | P/ERatio: 15.600 | EPS: N/A | Yield: 2.625 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.020 | Exchange: TSX | 
RBC Strategic Global Equity Leaders ETF | RLE | Volume: 49 | Value: 25.52 | Open: 0.00 | High: 0.00 | SharesOut.: 150000 | Beta: 0.399 | Prev.Close: 25.52 | Low: 0.00 | MarketCap: 3828000 | VWAP: N/A | Dividend: 0.129CAD | Div.Frequency: Quarterly | P/ERatio: 16.100 | EPS: N/A | Yield: 2.038 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.000 | Exchange: TSX | 
RBC Target 2018 Corporate Bond Index ETF | RQF | Volume: 0 | Value: 18.89 | Open: N/A | High: N/A | SharesOut.: 2050000 | Beta: 0.037 | Prev.Close: 18.89 | Low: N/A | MarketCap: 38724500 | VWAP: N/A | Dividend: 0.040CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.356 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
RBC Target 2019 Corporate Bond Index ETF | RQG | Volume: 800 | Value: 19.04 | Open: 19.05 | High: 19.05 | SharesOut.: 7200000 | Beta: 0.059 | Prev.Close: 19.05 | Low: 19.04 | MarketCap: 137088000 | VWAP: 19.04125 | Dividend: 0.060CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.133 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
RBC Target 2020 Corporate Bond Index ETF | RQH | Volume: 700 | Value: 19.95 | Open: 19.95 | High: 19.95 | SharesOut.: 6050000 | Beta: 0.017 | Prev.Close: 19.95 | Low: 19.95 | MarketCap: 120697500 | VWAP: 19.95 | Dividend: 0.043CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.662 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
RBC Target 2021 Corporate Bond Index ETF | RQI | Volume: 0 | Value: 19.71 | Open: N/A | High: N/A | SharesOut.: 6100000 | Beta: 0.106 | Prev.Close: 19.71 | Low: N/A | MarketCap: 120231000 | VWAP: N/A | Dividend: 0.048CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.750 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
RBC Target 2022 Corporate Bond Index ETF | RQJ | Volume: 0 | Value: 19.31 | Open: N/A | High: N/A | SharesOut.: 5200000 | Beta: -0.043 | Prev.Close: 19.31 | Low: N/A | MarketCap: 100412000 | VWAP: N/A | Dividend: 0.034CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.087 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
RBC Target 2023 Corporate Bond Index ETF | RQK | Volume: 785 | Value: 19.12 | Open: 19.12 | High: 19.12 | SharesOut.: 4800000 | Beta: 0.003 | Prev.Close: 19.11 | Low: 19.12 | MarketCap: 91776000 | VWAP: 19.12 | Dividend: 0.047CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.856 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
RBC U.S. Banks Yield (CAD Hedged) Index ETF | RUBH | Volume: 6700 | Value: 19.00 | Open: 18.98 | High: 19.00 | SharesOut.: 300000 | Beta: N/A | Prev.Close: 19.14 | Low: 18.98 | MarketCap: 5700000 | VWAP: 18.989552 | Dividend: 0.023CAD | Div.Frequency: Monthly | P/ERatio: 14.200 | EPS: N/A | Yield: 1.453 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.510 | Exchange: TSX | 
