exactEarth Ltd. | XCT | Volume: 0 | Value: 1.13 | Open: N/A | High: N/A | SharesOut.: 21634902 | Beta: 0.088 | Prev.Close: 1.13 | Low: N/A | MarketCap: 24447439 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.550000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.256 | Exchange: TSX | 
iShares Core S&P/TSX Capped Composite Index ETF | XIC | Volume: 384408 | Value: 25.74 | Open: 25.87 | High: 25.91 | SharesOut.: 157000000 | Beta: 1.002 | Prev.Close: 25.81 | Low: 25.70 | MarketCap: 4041180000 | VWAP: 25.783962 | Dividend: 0.197CAD | Div.Frequency: Quarterly | P/ERatio: 15.700 | EPS: 1.260000 | Yield: 2.548 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.830 | Exchange: TSX | 
iShares Diversified Monthly Income ETF | XTR | Volume: 24172 | Value: 11.09 | Open: 11.11 | High: 11.12 | SharesOut.: 54500000 | Beta: 0.476 | Prev.Close: 11.12 | Low: 11.09 | MarketCap: 604405000 | VWAP: 11.108178 | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: 12.500 | EPS: 0.370000 | Yield: 5.410 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.580 | Exchange: TSX | 
iShares Edge MSCI Min Vol Canada Index ETF | XMV | Volume: 359 | Value: 29.19 | Open: 29.20 | High: 29.20 | SharesOut.: 2500000 | Beta: 0.770 | Prev.Close: 29.20 | Low: 29.19 | MarketCap: 72975000 | VWAP: 29.193333 | Dividend: 0.241CAD | Div.Frequency: Quarterly | P/ERatio: 16.400 | EPS: N/A | Yield: 3.010 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.850 | Exchange: TSX | 
iShares Edge MSCI Min Vol EAFE Index ETF | XMI | Volume: 15758 | Value: 36.45 | Open: 36.65 | High: 36.65 | SharesOut.: 7150000 | Beta: 0.176 | Prev.Close: 36.58 | Low: 36.29 | MarketCap: 260617500 | VWAP: 36.397351 | Dividend: 0.600CAD | Div.Frequency: Semi-Annual | P/ERatio: 16.900 | EPS: N/A | Yield: 1.825 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.990 | Exchange: TSX | 
iShares Edge MSCI Min Vol EAFE Index ETF (CAD-Hedged) | XML | Volume: 1355 | Value: 22.60 | Open: 22.73 | High: 22.73 | SharesOut.: 1700000 | Beta: 0.385 | Prev.Close: 22.45 | Low: 22.60 | MarketCap: 38420000 | VWAP: 22.710769 | Dividend: 0.393CAD | Div.Frequency: Semi-Annual | P/ERatio: 16.900 | EPS: N/A | Yield: 1.853 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.990 | Exchange: TSX | 
iShares Edge MSCI Min Vol Emerging Markets Index ETF | XMM | Volume: 451 | Value: 27.80 | Open: 27.89 | High: 27.89 | SharesOut.: 3100000 | Beta: 0.340 | Prev.Close: 28.09 | Low: 27.80 | MarketCap: 86180000 | VWAP: 27.845 | Dividend: 0.146CAD | Div.Frequency: Semi-Annual | P/ERatio: 15.500 | EPS: N/A | Yield: 2.051 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.980 | Exchange: TSX | 
iShares Edge MSCI Min Vol Global Index ETF | XMW | Volume: 7833 | Value: 39.45 | Open: 39.52 | High: 39.52 | SharesOut.: 2500000 | Beta: 0.115 | Prev.Close: 39.58 | Low: 39.26 | MarketCap: 98625000 | VWAP: 39.309866 | Dividend: 0.277CAD | Div.Frequency: Semi-Annual | P/ERatio: 17.200 | EPS: N/A | Yield: 1.522 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.410 | Exchange: TSX | 
iShares Edge MSCI Min Vol Global Index ETF (CAD-Hedged) | XMY | Volume: 4 | Value: 22.74 | Open: 0.00 | High: 0.00 | SharesOut.: 275000 | Beta: 0.599 | Prev.Close: 22.74 | Low: 0.00 | MarketCap: 6253500 | VWAP: N/A | Dividend: 0.161CAD | Div.Frequency: Semi-Annual | P/ERatio: 17.200 | EPS: N/A | Yield: 1.602 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.410 | Exchange: TSX | 
iShares Edge MSCI Min Vol USA Index ETF | XMU | Volume: 2275 | Value: 47.85 | Open: 47.77 | High: 48.00 | SharesOut.: 3700000 | Beta: 0.117 | Prev.Close: 48.00 | Low: 47.77 | MarketCap: 177045000 | VWAP: 47.957143 | Dividend: 0.200CAD | Div.Frequency: Quarterly | P/ERatio: 21.200 | EPS: N/A | Yield: 1.425 | Ex-DivDate: 06/25/2018 | P/BRatio: 3.290 | Exchange: TSX | 
iShares Edge MSCI Min Vol USA Index ETF (CAD-Hedged) | XMS | Volume: 1925 | Value: 23.93 | Open: 23.93 | High: 23.93 | SharesOut.: 900000 | Beta: 0.252 | Prev.Close: 23.90 | Low: 23.93 | MarketCap: 21537000 | VWAP: 23.93 | Dividend: 0.102CAD | Div.Frequency: Quarterly | P/ERatio: 21.300 | EPS: N/A | Yield: 1.484 | Ex-DivDate: 06/25/2018 | P/BRatio: 3.310 | Exchange: TSX | 
iShares Edge MSCI Multifactor Canada Index ETF | XFC | Volume: 305 | Value: 25.31 | Open: 25.33 | High: 25.33 | SharesOut.: 1200000 | Beta: 0.828 | Prev.Close: 25.28 | Low: 25.31 | MarketCap: 30372000 | VWAP: 25.323333 | Dividend: 0.146CAD | Div.Frequency: Quarterly | P/ERatio: 11.600 | EPS: N/A | Yield: 1.998 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.640 | Exchange: TSX | 
iShares Edge MSCI Multifactor EAFE Index ETF | XFI | Volume: 1447 | Value: 24.39 | Open: 24.54 | High: 24.54 | SharesOut.: 4600000 | Beta: 0.271 | Prev.Close: 24.46 | Low: 24.39 | MarketCap: 112194000 | VWAP: 24.507143 | Dividend: 0.426CAD | Div.Frequency: Quarterly | P/ERatio: 12.500 | EPS: N/A | Yield: 3.072 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.350 | Exchange: TSX | 
iShares Edge MSCI Multifactor EAFE Index ETF (CAD-Hedged) | XFF | Volume: 1143 | Value: 25.09 | Open: 25.25 | High: 25.25 | SharesOut.: 2350000 | Beta: 0.557 | Prev.Close: 25.11 | Low: 25.09 | MarketCap: 58961500 | VWAP: 25.17 | Dividend: 0.444CAD | Div.Frequency: Quarterly | P/ERatio: 12.500 | EPS: N/A | Yield: 3.105 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.350 | Exchange: TSX | 
iShares Edge MSCI Multifactor USA Index ETF | XFS | Volume: 430 | Value: 27.65 | Open: 27.65 | High: 27.65 | SharesOut.: 6200000 | Beta: 3.851 | Prev.Close: 27.62 | Low: 27.65 | MarketCap: 171430000 | VWAP: 27.65 | Dividend: 0.073CAD | Div.Frequency: Quarterly | P/ERatio: 15.900 | EPS: N/A | Yield: 1.226 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.460 | Exchange: TSX | 
iShares Edge MSCI Multifactor USA Index ETF (CAD-Hedged) | XFA | Volume: 13 | Value: 27.71 | Open: 0.00 | High: 0.00 | SharesOut.: 3100000 | Beta: 0.935 | Prev.Close: 27.71 | Low: 0.00 | MarketCap: 85901000 | VWAP: N/A | Dividend: 0.076CAD | Div.Frequency: Quarterly | P/ERatio: 17.100 | EPS: N/A | Yield: 1.216 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.440 | Exchange: TSX | 
iShares Floating Rate Index ETF | XFR | Volume: 15239 | Value: 20.15 | Open: 20.16 | High: 20.16 | SharesOut.: 29000000 | Beta: 0.014 | Prev.Close: 20.145 | Low: 20.15 | MarketCap: 584350000 | VWAP: 20.152857 | Dividend: 0.026CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.330000 | Yield: 1.266 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Global Healthcare Index ETF (CAD-Hedged) | XHC | Volume: 4244 | Value: 44.46 | Open: 44.93 | High: 45.01 | SharesOut.: 5150000 | Beta: 0.572 | Prev.Close: 44.76 | Low: 44.46 | MarketCap: 228969000 | VWAP: 44.7785 | Dividend: 0.277CAD | Div.Frequency: Semi-Annual | P/ERatio: 25.600 | EPS: 3.480000 | Yield: 1.145 | Ex-DivDate: 06/25/2018 | P/BRatio: 3.540 | Exchange: TSX | 
iShares High Quality Canadian Bond Index ETF | XQB | Volume: 51657 | Value: 20.44 | Open: 20.39 | High: 20.44 | SharesOut.: 31300000 | Beta: 0.009 | Prev.Close: 20.38 | Low: 20.39 | MarketCap: 639772000 | VWAP: 20.404299 | Dividend: 0.043CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.524 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares India Index ETF | XID | Volume: 9536 | Value: 35.40 | Open: 36.50 | High: 36.50 | SharesOut.: 1950000 | Beta: 0.426 | Prev.Close: 35.87 | Low: 35.40 | MarketCap: 69030000 | VWAP: 35.683936 | Dividend: 0.032CAD | Div.Frequency: Semi-Annual | P/ERatio: 13.500 | EPS: 3.530000 | Yield: 0.164 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.430 | Exchange: TSX | 
iShares J.P. Morgan USD Emerging Markets Bond Index ETF (CAD-Hedged) | XEB | Volume: 7186 | Value: 19.93 | Open: 20.06 | High: 20.06 | SharesOut.: 5475000 | Beta: 0.290 | Prev.Close: 19.94 | Low: 19.91 | MarketCap: 109116750 | VWAP: 20.001549 | Dividend: 0.056CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.180000 | Yield: 3.912 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Jantzi Social Index ETF | XEN | Volume: 5442 | Value: 25.73 | Open: 25.86 | High: 25.86 | SharesOut.: 3900000 | Beta: 1.021 | Prev.Close: 25.84 | Low: 25.73 | MarketCap: 100347000 | VWAP: 25.737736 | Dividend: 0.155CAD | Div.Frequency: Quarterly | P/ERatio: 14.500 | EPS: 1.930000 | Yield: 1.898 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.980 | Exchange: TSX | 
iShares MSCI EAFE Index ETF (CAD-Hedged) | XIN | Volume: 34766 | Value: 25.71 | Open: 25.89 | High: 25.96 | SharesOut.: 55000000 | Beta: 0.797 | Prev.Close: 25.78 | Low: 25.70 | MarketCap: 1414050000 | VWAP: 25.842537 | Dividend: 0.380CAD | Div.Frequency: Semi-Annual | P/ERatio: 14.800 | EPS: 3.650000 | Yield: 2.413 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.580 | Exchange: TSX | 
iShares MSCI Emerging Markets Index ETF | XEM | Volume: 5250 | Value: 31.74 | Open: 32.11 | High: 32.13 | SharesOut.: 9300000 | Beta: 0.671 | Prev.Close: 32.25 | Low: 31.58 | MarketCap: 295182000 | VWAP: 31.821020 | Dividend: 0.042CAD | Div.Frequency: Semi-Annual | P/ERatio: 13.200 | EPS: 3.610000 | Yield: 1.730 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.720 | Exchange: TSX | 
iShares MSCI Europe IMI Index ETF | XEU | Volume: 10306 | Value: 24.26 | Open: 24.40 | High: 24.41 | SharesOut.: 16400000 | Beta: 0.571 | Prev.Close: 24.35 | Low: 24.25 | MarketCap: 397864000 | VWAP: 24.338125 | Dividend: 0.484CAD | Div.Frequency: Semi-Annual | P/ERatio: 15.300 | EPS: N/A | Yield: 2.548 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.740 | Exchange: TSX | 
