exactEarth Ltd. | XCT | Volume: 0 | Value: 1.13 | Open: N/A | High: N/A | SharesOut.: 21634902 | Beta: 0.088 | Prev.Close: 1.13 | Low: N/A | MarketCap: 24447439 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.550000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.256 | Exchange: TSX | 
iShares MSCI Europe IMI Index ETF (CAD-Hedged) | XEH | Volume: 12392 | Value: 24.40 | Open: 24.52 | High: 24.55 | SharesOut.: 9700000 | Beta: 0.763 | Prev.Close: 24.37 | Low: 24.40 | MarketCap: 236680000 | VWAP: 24.505702 | Dividend: 0.504CAD | Div.Frequency: Semi-Annual | P/ERatio: 15.300 | EPS: N/A | Yield: 2.612 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.730 | Exchange: TSX | 
iShares MSCI World Index ETF | XWD | Volume: 56938 | Value: 50.27 | Open: 50.58 | High: 50.69 | SharesOut.: 13800000 | Beta: 0.499 | Prev.Close: 50.50 | Low: 50.12 | MarketCap: 693726000 | VWAP: 50.361961 | Dividend: 0.454CAD | Div.Frequency: Semi-Annual | P/ERatio: 17.800 | EPS: 2.930000 | Yield: 1.671 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.270 | Exchange: TSX | 
iShares NASDAQ 100 Index ETF (CAD-Hedged) | XQQ | Volume: 20472 | Value: 56.76 | Open: 57.68 | High: 57.99 | SharesOut.: 6400000 | Beta: 0.839 | Prev.Close: 57.59 | Low: 56.75 | MarketCap: 363264000 | VWAP: 57.497173 | Dividend: 0.134CAD | Div.Frequency: Semi-Annual | P/ERatio: 25.600 | EPS: 2.400000 | Yield: 0.398 | Ex-DivDate: 06/25/2018 | P/BRatio: 5.650 | Exchange: TSX | 
iShares S&P Global Consumer Discretionary Index ETF (CAD-Hedged) | XCD | Volume: 100 | Value: 35.94 | Open: 35.94 | High: 35.94 | SharesOut.: 1500000 | Beta: 0.768 | Prev.Close: 35.90 | Low: 35.94 | MarketCap: 53910000 | VWAP: 35.94 | Dividend: 0.253CAD | Div.Frequency: Semi-Annual | P/ERatio: 16.300 | EPS: N/A | Yield: 1.405 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.820 | Exchange: TSX | 
iShares S&P Global Industrials Index ETF(CAD-Hedged) | XGI | Volume: 100 | Value: 31.99 | Open: 31.99 | High: 31.99 | SharesOut.: 1775000 | Beta: 0.857 | Prev.Close: 31.70 | Low: 31.99 | MarketCap: 56782250 | VWAP: 31.99 | Dividend: 0.227CAD | Div.Frequency: Semi-Annual | P/ERatio: 17.500 | EPS: N/A | Yield: 1.254 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.960 | Exchange: TSX | 
iShares S&P U.S. Mid-Cap Index ETF | XMC | Volume: 4800 | Value: 19.87 | Open: 20.03 | High: 20.03 | SharesOut.: 4700000 | Beta: 0.872 | Prev.Close: 20.07 | Low: 19.87 | MarketCap: 93389000 | VWAP: 19.967292 | Dividend: 0.125CAD | Div.Frequency: Semi-Annual | P/ERatio: 18.800 | EPS: N/A | Yield: 1.065 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.260 | Exchange: TSX | 
iShares S&P U.S. Mid-Cap Index ETF (CAD-Hedged) | XMH | Volume: 13955 | Value: 19.03 | Open: 19.28 | High: 19.31 | SharesOut.: 4100000 | Beta: 1.152 | Prev.Close: 19.29 | Low: 19.03 | MarketCap: 78023000 | VWAP: 19.280956 | Dividend: 0.110CAD | Div.Frequency: Semi-Annual | P/ERatio: 18.800 | EPS: N/A | Yield: 1.025 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.260 | Exchange: TSX | 
iShares S&P/TSX 60 Index ETF | XIU | Volume: 2984780 | Value: 24.18 | Open: 24.30 | High: 24.35 | SharesOut.: 412400000 | Beta: 0.976 | Prev.Close: 24.245 | Low: 24.14 | MarketCap: 9971832000 | VWAP: 24.217447 | Dividend: 0.171CAD | Div.Frequency: Quarterly | P/ERatio: 16.300 | EPS: 1.280000 | Yield: 2.680 | Ex-DivDate: 05/25/2018 | P/BRatio: 1.920 | Exchange: TSX | 
iShares S&P/TSX Capped Consumer Staples Index ETF | XST | Volume: 8840 | Value: 54.93 | Open: 55.24 | High: 55.24 | SharesOut.: 1900000 | Beta: 0.212 | Prev.Close: 55.36 | Low: 54.93 | MarketCap: 104367000 | VWAP: 54.987326 | Dividend: 0.129CAD | Div.Frequency: Quarterly | P/ERatio: 14.100 | EPS: 4.480000 | Yield: 0.874 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.540 | Exchange: TSX | 
iShares S&P/TSX Capped Energy Index ETF | XEG | Volume: 929869 | Value: 13.05 | Open: 12.99 | High: 13.17 | SharesOut.: 71400000 | Beta: 1.906 | Prev.Close: 12.87 | Low: 12.99 | MarketCap: 931770000 | VWAP: 13.080022 | Dividend: 0.066CAD | Div.Frequency: Quarterly | P/ERatio: 20.400 | EPS: -0.880000 | Yield: 1.646 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.450 | Exchange: TSX | 
iShares S&P/TSX Capped Financials Index ETF | XFN | Volume: 323725 | Value: 37.475 | Open: 37.72 | High: 37.72 | SharesOut.: 25900000 | Beta: 0.968 | Prev.Close: 37.63 | Low: 37.44 | MarketCap: 970602500 | VWAP: 37.568782 | Dividend: 0.093CAD | Div.Frequency: Monthly | P/ERatio: 13.000 | EPS: 3.460000 | Yield: 2.938 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.670 | Exchange: TSX | 
iShares S&P/TSX Capped Information Technology Index ETF | XIT | Volume: 35543 | Value: 19.40 | Open: 19.85 | High: 19.85 | SharesOut.: 6700000 | Beta: 0.524 | Prev.Close: 19.72 | Low: 19.35 | MarketCap: 129980000 | VWAP: 19.479121 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 31.200 | EPS: 0.380000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 4.550 | Exchange: TSX | 
iShares S&P/TSX Capped Materials Index ETF | XMA | Volume: 4789 | Value: 13.79 | Open: 13.83 | High: 13.83 | SharesOut.: 9300000 | Beta: 1.572 | Prev.Close: 13.82 | Low: 13.73 | MarketCap: 128247000 | VWAP: 13.783778 | Dividend: 0.029CAD | Div.Frequency: Quarterly | P/ERatio: 18.300 | EPS: -1.110000 | Yield: 0.715 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.520 | Exchange: TSX | 
iShares S&P/TSX Capped REIT Index ETF | XRE | Volume: 156012 | Value: 17.13 | Open: 17.23 | High: 17.24 | SharesOut.: 69800000 | Beta: 0.520 | Prev.Close: 17.22 | Low: 17.12 | MarketCap: 1195674000 | VWAP: 17.188934 | Dividend: 0.066CAD | Div.Frequency: Monthly | P/ERatio: 6.100 | EPS: 2.690000 | Yield: 4.641 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.050 | Exchange: TSX | 
iShares S&P/TSX Capped Utilities Index ETF | XUT | Volume: 66192 | Value: 21.15 | Open: 21.10 | High: 21.15 | SharesOut.: 5300000 | Beta: 0.368 | Prev.Close: 21.10 | Low: 21.06 | MarketCap: 112095000 | VWAP: 21.103303 | Dividend: 0.073CAD | Div.Frequency: Monthly | P/ERatio: 26.400 | EPS: 0.670000 | Yield: 4.043 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.490 | Exchange: TSX | 
iShares S&P/TSX Completion Index ETF | XMD | Volume: 5410 | Value: 25.73 | Open: 25.85 | High: 25.89 | SharesOut.: 7900000 | Beta: 1.058 | Prev.Close: 25.87 | Low: 25.73 | MarketCap: 203267000 | VWAP: 25.817115 | Dividend: 0.162CAD | Div.Frequency: Quarterly | P/ERatio: 13.800 | EPS: 0.630000 | Yield: 1.924 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.580 | Exchange: TSX | 
iShares S&P/TSX Composite High Dividend Index ETF | XEI | Volume: 15590 | Value: 20.97 | Open: 21.09 | High: 21.09 | SharesOut.: 24900000 | Beta: 0.975 | Prev.Close: 21.02 | Low: 20.96 | MarketCap: 522153000 | VWAP: 21.001645 | Dividend: 0.085CAD | Div.Frequency: Monthly | P/ERatio: 14.800 | EPS: 1.170000 | Yield: 4.793 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.600 | Exchange: TSX | 
iShares S&P/TSX Global Base Metals Index ETF | XBM | Volume: 10700 | Value: 14.03 | Open: 13.87 | High: 14.16 | SharesOut.: 7600000 | Beta: 2.096 | Prev.Close: 14.08 | Low: 13.87 | MarketCap: 106628000 | VWAP: 14.051905 | Dividend: 0.180CAD | Div.Frequency: Quarterly | P/ERatio: 14.700 | EPS: 0.720000 | Yield: 1.888 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.420 | Exchange: TSX | 
iShares S&P/TSX Global Gold Index ETF | XGD | Volume: 153685 | Value: 11.89 | Open: 11.89 | High: 11.91 | SharesOut.: 61900000 | Beta: 1.487 | Prev.Close: 11.92 | Low: 11.83 | MarketCap: 735991000 | VWAP: 11.863931 | Dividend: 0.024CAD | Div.Frequency: Quarterly | P/ERatio: 23.900 | EPS: -3.360000 | Yield: 0.807 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.300 | Exchange: TSX | 
iShares S&P/TSX North American Preferred Stock Index ETF (CAD-Hedged) | XPF | Volume: 5051 | Value: 18.08 | Open: 18.06 | High: 18.08 | SharesOut.: 13250000 | Beta: 0.380 | Prev.Close: 18.05 | Low: 18.05 | MarketCap: 239560000 | VWAP: 18.073061 | Dividend: 0.065CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.460000 | Yield: 4.563 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares S&P/TSX SmallCap Index ETF | XCS | Volume: 3118 | Value: 16.38 | Open: 16.40 | High: 16.48 | SharesOut.: 7600000 | Beta: 1.487 | Prev.Close: 16.34 | Low: 16.37 | MarketCap: 124488000 | VWAP: 16.410333 | Dividend: 0.099CAD | Div.Frequency: Quarterly | P/ERatio: 9.900 | EPS: -0.700000 | Yield: 2.088 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.220 | Exchange: TSX | 
iShares Short Term High Quality Canadian Bond Index ETF | XSQ | Volume: 100 | Value: 19.27 | Open: 19.27 | High: 19.27 | SharesOut.: 5700000 | Beta: 0.009 | Prev.Close: 19.26 | Low: 19.27 | MarketCap: 109839000 | VWAP: 19.27 | Dividend: 0.034CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.097 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares Short Term Strategic Fixed Income ETF | XSI | Volume: 5254 | Value: 18.87 | Open: 18.91 | High: 18.91 | SharesOut.: 8400000 | Beta: 0.281 | Prev.Close: 18.86 | Low: 18.87 | MarketCap: 158508000 | VWAP: 18.905294 | Dividend: 0.048CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.343 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares U.S. High Dividend Equity Index ETF | XHU | Volume: 651 | Value: 23.33 | Open: 23.33 | High: 23.33 | SharesOut.: 1200000 | Beta: 0.438 | Prev.Close: 23.19 | Low: 23.33 | MarketCap: 27996000 | VWAP: 23.330000 | Dividend: 0.058CAD | Div.Frequency: Monthly | P/ERatio: 14.800 | EPS: N/A | Yield: 2.662 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.640 | Exchange: TSX | 
iShares U.S. High Dividend Equity Index ETF (CAD-Hedged) | XHD | Volume: 4026 | Value: 27.17 | Open: 27.16 | High: 27.40 | SharesOut.: 7550000 | Beta: 0.679 | Prev.Close: 27.24 | Low: 27.16 | MarketCap: 205133500 | VWAP: 27.284865 | Dividend: 0.070CAD | Div.Frequency: Monthly | P/ERatio: 14.800 | EPS: N/A | Yield: 2.869 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.640 | Exchange: TSX | 
iShares U.S. High Yield Bond Index ETF (CAD-Hedged) | XHY | Volume: 28501 | Value: 19.14 | Open: 19.18 | High: 19.18 | SharesOut.: 26600000 | Beta: 0.502 | Prev.Close: 19.20 | Low: 19.10 | MarketCap: 509124000 | VWAP: 19.155425 | Dividend: 0.088CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 1.350000 | Yield: 5.569 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares U.S. IG Corporate Bond Index ETF (CAD-Hedged) | XIG | Volume: 10731 | Value: 22.19 | Open: 22.22 | High: 22.22 | SharesOut.: 5750000 | Beta: 0.202 | Prev.Close: 22.11 | Low: 22.16 | MarketCap: 127592500 | VWAP: 22.188019 | Dividend: 0.054CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.040000 | Yield: 2.920 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
iShares U.S. Small Cap Index ETF (CAD-Hedged) | XSU | Volume: 31187 | Value: 34.69 | Open: 35.29 | High: 35.32 | SharesOut.: 10100000 | Beta: 1.013 | Prev.Close: 35.28 | Low: 34.69 | MarketCap: 350369000 | VWAP: 35.017507 | Dividend: 0.156CAD | Div.Frequency: Semi-Annual | P/ERatio: 20.000 | EPS: 3.850000 | Yield: 0.977 | Ex-DivDate: 06/25/2018 | P/BRatio: 2.310 | Exchange: TSX | 
M Split Corp. | XMF.A | Volume: 0 | Value: 0.30 | Open: N/A | High: N/A | SharesOut.: 3148189 | Beta: 0.578 | Prev.Close: 0.30 | Low: N/A | MarketCap: 944457 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 0.00 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -0.052 | Exchange: TSX | 
TDb Split Corp. | XTD | Volume: 4765 | Value: 6.71 | Open: 6.80 | High: 6.84 | SharesOut.: 3386660 | Beta: 1.395 | Prev.Close: 6.70 | Low: 6.71 | MarketCap: 22724489 | VWAP: 6.804894 | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: 3.600 | EPS: 1.880000 | Yield: 8.942 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.024 | Exchange: TSX | 
TMX Group Limited | X | Volume: 210353 | Value: 84.18 | Open: 84.46 | High: 85.31 | SharesOut.: 55608468 | Beta: 1.030 | Prev.Close: 84.25 | Low: 83.36 | MarketCap: 4681120836 | VWAP: 84.126474 | Dividend: 0.580CAD | Div.Frequency: Quarterly | P/ERatio: 12.100 | EPS: 6.940000 | Yield: 2.756 | Ex-DivDate: 05/24/2018 | P/BRatio: 1.423 | Exchange: TSX | 
Xtra-Gold Resources Corp. | XTG | Volume: 13000 | Value: 0.30 | Open: 0.30 | High: 0.30 | SharesOut.: 47549417 | Beta: 0.554 | Prev.Close: 0.295 | Low: 0.30 | MarketCap: 14264825 | VWAP: 0.30 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 9.500 | EPS: 0.00 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.500 | Exchange: TSX | 
Xtreme Drilling Corp. | XDC | Volume: 39532 | Value: 2.17 | Open: 2.20 | High: 2.23 | SharesOut.: 74982894 | Beta: 3.124 | Prev.Close: 2.18 | Low: 2.16 | MarketCap: 162712880 | VWAP: 2.208127 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.990000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.721 | Exchange: TSX | 
