BMO Women in Leadership Fund | WOMN | Volume: 0 | Value: 20.53 | Open: N/A | High: N/A | SharesOut.: 100050 | Beta: N/A | Prev.Close: 20.53 | Low: N/A | MarketCap: 2054027 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 17.100 | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.450 | Exchange: TSX | 
WisdomTree Canada Quality Dividend Growth Index ETF | DGRC | Volume: 0 | Value: 27.31 | Open: N/A | High: N/A | SharesOut.: 1300000 | Beta: 0.715 | Prev.Close: 27.31 | Low: N/A | MarketCap: 35503000 | VWAP: N/A | Dividend: 0.040CAD | Div.Frequency: Quarterly | P/ERatio: 14.600 | EPS: N/A | Yield: 0.684 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.510 | Exchange: TSX | 
WisdomTree Emerging Markets Dividend Index ETF | EMV.B | Volume: 400 | Value: 26.05 | Open: 26.05 | High: 26.05 | SharesOut.: 100000 | Beta: -0.649 | Prev.Close: 26.38 | Low: 26.05 | MarketCap: 2605000 | VWAP: 26.05 | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: 11.100 | EPS: N/A | Yield: 1.996 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.310 | Exchange: TSX | 
WisdomTree Europe Hedged Equity Index ETF | EHE | Volume: 1569 | Value: 25.40 | Open: 25.62 | High: 25.62 | SharesOut.: 2650000 | Beta: 0.820 | Prev.Close: 25.52 | Low: 25.40 | MarketCap: 67310000 | VWAP: 25.545000 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 15.300 | EPS: N/A | Yield: 1.260 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.980 | Exchange: TSX | 
WisdomTree International Quality Dividend Growth Index ETF | IQD | Volume: 4850 | Value: 24.34 | Open: 24.36 | High: 24.37 | SharesOut.: 1500000 | Beta: 0.439 | Prev.Close: 24.32 | Low: 24.34 | MarketCap: 36510000 | VWAP: 24.346042 | Dividend: 0.070CAD | Div.Frequency: Quarterly | P/ERatio: 15.900 | EPS: N/A | Yield: 1.315 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.980 | Exchange: TSX | 
WisdomTree International Quality Dividend Growth Variably Hedged Index ETF | DQI | Volume: 1400 | Value: 24.00 | Open: 23.94 | High: 24.02 | SharesOut.: 900000 | Beta: 0.454 | Prev.Close: 23.92 | Low: 23.94 | MarketCap: 21600000 | VWAP: 23.98 | Dividend: 0.060CAD | Div.Frequency: Quarterly | P/ERatio: 16.000 | EPS: N/A | Yield: 1.000 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.980 | Exchange: TSX | 
WisdomTree U.S. High Dividend Index ETF | HID | Volume: 0 | Value: 20.17 | Open: N/A | High: N/A | SharesOut.: 500000 | Beta: 0.825 | Prev.Close: 20.17 | Low: N/A | MarketCap: 10085000 | VWAP: N/A | Dividend: 0.050CAD | Div.Frequency: Quarterly | P/ERatio: 15.800 | EPS: N/A | Yield: 0.992 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.310 | Exchange: TSX | 
WisdomTree U.S. MidCap Dividend Index ETF | UMI | Volume: 629 | Value: 26.72 | Open: 26.50 | High: 26.91 | SharesOut.: 741082 | Beta: 0.987 | Prev.Close: 26.78 | Low: 26.50 | MarketCap: 19801711 | VWAP: 26.70 | Dividend: 0.040CAD | Div.Frequency: Quarterly | P/ERatio: 19.400 | EPS: N/A | Yield: 0.599 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.340 | Exchange: TSX | 
WisdomTree U.S. Quality Dividend Growth Index ETF | DGR | Volume: 1925 | Value: 25.10 | Open: 25.02 | High: 25.30 | SharesOut.: 804175 | Beta: 0.425 | Prev.Close: 25.25 | Low: 25.02 | MarketCap: 20184793 | VWAP: 25.173684 | Dividend: 0.030CAD | Div.Frequency: Quarterly | P/ERatio: 21.800 | EPS: N/A | Yield: 0.479 | Ex-DivDate: 06/28/2018 | P/BRatio: 4.180 | Exchange: TSX | 
WisdomTree U.S. Quality Dividend Growth Variably Hedged Index ETF | DQD | Volume: 1600 | Value: 25.34 | Open: 25.56 | High: 25.56 | SharesOut.: 1000000 | Beta: 0.797 | Prev.Close: 25.55 | Low: 25.34 | MarketCap: 25340000 | VWAP: 25.45 | Dividend: 0.030CAD | Div.Frequency: Quarterly | P/ERatio: 21.800 | EPS: N/A | Yield: 0.434 | Ex-DivDate: 06/28/2018 | P/BRatio: 4.180 | Exchange: TSX | 
WisdomTree Yield Enhanced Canada Aggregate Bond Index ETF | CAGG | Volume: 255 | Value: 48.74 | Open: 48.74 | High: 48.74 | SharesOut.: 1413163 | Beta: 0.149 | Prev.Close: 48.70 | Low: 48.74 | MarketCap: 68877565 | VWAP: 48.74 | Dividend: 0.125CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.053 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
WisdomTree Yield Enhanced Canada Short-Term Aggregate Bond Index ETF | CAGS | Volume: 0 | Value: 48.89 | Open: N/A | High: N/A | SharesOut.: 1800000 | Beta: 0.038 | Prev.Close: 48.89 | Low: N/A | MarketCap: 88002000 | VWAP: N/A | Dividend: 0.107CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.592 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
World Financial Split Corp. | WFS | Volume: 600 | Value: 3.60 | Open: 3.81 | High: 3.81 | SharesOut.: 2060607 | Beta: 2.253 | Prev.Close: 3.78 | Low: 3.50 | MarketCap: 7418185 | VWAP: 3.71 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 2.000 | EPS: 1.100000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.224 | Exchange: TSX | 
WPT Industrial Real Estate Investment Trust | WIR.U | Volume: 32465 | Value: 14.00 | Open: 14.03 | High: 14.03 | SharesOut.: 44545772 | Beta: 0.630 | Prev.Close: 13.99 | Low: 13.80 | MarketCap: 623640808 | VWAP: 13.948673 | Dividend: 0.063USD | Div.Frequency: Monthly | P/ERatio: 13.400 | EPS: N/A | Yield: 5.426 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.185 | Exchange: TSX | 
WSP Global Inc. | WSP | Volume: 447081 | Value: 68.95 | Open: 69.53 | High: 70.10 | SharesOut.: 103831333 | Beta: 0.967 | Prev.Close: 71.05 | Low: 68.65 | MarketCap: 7159170410 | VWAP: 69.266990 | Dividend: 0.375CAD | Div.Frequency: Quarterly | P/ERatio: 34.000 | EPS: 2.080000 | Yield: 2.175 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.318 | Exchange: TSX | 
